from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,104,110
111,SB,110,114,118
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,74,76,77
112,LMC,79,81,82
112,HG,86,90,94
112,SB,94,98,103
112,MKT,89,90,91
112,HYW,98,99,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,87,91,96
113,SB,91,96,102
113,MKT,81,83,84
113,HYW,90,92,93
114,LW,70,71,72
114,LMC,75,76,77
114,HG,79,82,87
114,SB,90,95,100
114,MKT,80,81,83
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,83,87,91
115,SB,97,101,106
115,MKT,80,81,83
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,91,95,98
116,SB,100,105,109
116,MKT,86,87,88
116,HYW,95,96,97
121,LW,70,71,73
121,LMC,75,76,78
121,HG,83,86,91
121,SB,99,103,106
121,MKT,81,82,83
121,HYW,90,91,93
122,LW,69,70,71
122,LMC,74,75,76
122,HG,80,85,88
122,SB,96,101,105
122,MKT,80,81,83
122,HYW,89,90,92
123,LW,62,63,64
123,LMC,67,68,69
123,HG,76,79,82
123,SB,93,98,102
123,MKT,73,74,75
123,HYW,82,83,85
124,LW,59,60,62
124,LMC,64,65,67
124,HG,76,79,82
124,SB,92,96,100
124,MKT,70,72,73
124,HYW,79,81,82
131,LW,66,67,68
131,LMC,71,72,73
131,HG,78,83,87
131,SB,94,98,102
131,MKT,76,77,79
131,HYW,85,86,88
132,LW,66,67,68
132,LMC,71,72,73
132,HG,83,86,91
132,SB,98,103,108
132,MKT,76,77,79
132,HYW,85,86,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,84,87,92
133,SB,100,104,108
133,MKT,77,78,79
133,HYW,86,87,88
134,LW,58,59,60
134,LMC,63,64,65
134,HG,81,84,87
134,SB,99,103,107
134,MKT,69,70,71
134,HYW,78,80,81
135,LW,62,63,64
135,LMC,67,68,69
135,HG,83,86,90
135,SB,98,103,109
135,MKT,73,74,76
135,HYW,82,84,85
140,LW,79,81,82
140,LMC,84,86,87
140,HG,96,100,106
140,SB,109,114,118
140,MKT,90,92,93
140,HYW,99,101,102
141,LW,86,88,89
141,LMC,91,93,94
141,HG,103,106,111
141,SB,113,118,
141,MKT,104,106,108
141,HYW,113,115,117
142,LW,70,71,73
142,LMC,75,76,78
142,HG,89,93,96
142,SB,100,104,108
142,MKT,81,82,84
142,HYW,90,91,93
143,LW,73,75,76
143,LMC,78,80,81
143,HG,92,98,102
143,SB,103,108,111
143,MKT,84,86,87
143,HYW,93,95,96
144,LW,73,75,78
144,LMC,78,80,83
144,HG,92,96,102
144,SB,106,112,117
144,MKT,83,86,89
144,HYW,92,95,98
145,LW,81,82,83
145,LMC,86,87,88
145,HG,96,102,107
145,SB,112,116,
145,MKT,91,93,94
145,HYW,100,102,103
146,LW,68,70,71
146,LMC,73,75,76
146,HG,86,91,96
146,SB,101,105,110
146,MKT,79,80,82
146,HYW,88,90,91
147,LW,71,73,74
147,LMC,76,78,79
147,HG,91,94,99
147,SB,106,110,114
147,MKT,81,83,85
147,HYW,91,92,94
148,LW,76,78,80
148,LMC,81,83,85
148,HG,94,99,104
148,SB,109,114,118
148,MKT,87,89,92
148,HYW,97,98,101
149,LW,79,80,82
149,LMC,84,85,87
149,HG,98,105,111
149,SB,112,117,
149,MKT,92,95,99
149,HYW,101,103,107
151,LW,72,73,74
151,LMC,77,78,79
151,HG,92,96,101
151,SB,104,111,115
151,MKT,83,84,86
151,HYW,92,93,95
152,LW,80,82,84
152,LMC,85,87,89
152,HG,99,104,109
152,SB,114,118,
152,MKT,92,95,97
152,HYW,101,104,106
153,LW,74,75,77
153,LMC,79,80,82
153,HG,90,93,98
153,SB,105,108,113
153,MKT,85,87,88
153,HYW,94,96,97
154,LW,82,85,87
154,LMC,87,90,92
154,HG,100,104,108
154,SB,112,118,
154,MKT,92,95,97
154,HYW,101,104,106
155,LW,78,80,82
155,LMC,83,85,87
155,HG,100,104,109
155,SB,108,115,119
155,MKT,89,92,94
155,HYW,98,101,103
156,LW,92,94,98
156,LMC,97,100,103
156,HG,115,,
156,MKT,105,110,113
156,HYW,114,119,
157,LW,74,77,79
157,LMC,79,82,84
157,HG,93,97,102
157,SB,108,112,117
157,MKT,85,87,90
157,HYW,94,96,99
161,LW,78,82,86
161,LMC,83,87,91
161,HG,100,103,108
161,SB,114,118,
161,MKT,89,92,97
161,HYW,98,102,106
162,LW,96,101,105
162,LMC,102,106,111
162,MKT,113,115,118
163,LW,92,93,95
163,LMC,97,98,101
163,HG,113,116,
163,MKT,102,104,106
