threshold_minutes,tpu_equal_share,covered_population_share
20,0.004784688995215311,0.004841204528672744
21,0.014354066985645933,0.005622167066100898
22,0.019138755980861243,0.021357512790628214
23,0.019138755980861243,0.021357512790628214
24,0.023923444976076555,0.029538172424375717
25,0.023923444976076555,0.029538172424375717
26,0.023923444976076555,0.029538172424375717
27,0.023923444976076555,0.03740679929086664
28,0.023923444976076555,0.03740679929086664
29,0.028708133971291867,0.05109852119070882
30,0.028708133971291867,0.05109852119070882
31,0.028708133971291867,0.05109852119070882
32,0.028708133971291867,0.05109852119070882
33,0.03827751196172249,0.06185851471522166
34,0.03827751196172249,0.07707840461726305
35,0.0430622009569378,0.07707840461726305
36,0.05741626794258373,0.08056712469143468
37,0.05741626794258373,0.08056712469143468
38,0.05741626794258373,0.08056712469143468
39,0.06220095693779904,0.12132967054418016
40,0.06698564593301436,0.12176073368502333
41,0.0861244019138756,0.13021981578325142
42,0.09090909090909091,0.15694573051552774
43,0.10526315789473684,0.17207785202866063
44,0.11483253588516747,0.17495615616726307
45,0.1291866028708134,0.1877577187381254
46,0.1339712918660287,0.19115544148600394
47,0.14832535885167464,0.20918876323919366
48,0.14832535885167464,0.20918876323919366
49,0.14832535885167464,0.20918876323919366
50,0.15789473684210525,0.21515525244639708
51,0.17703349282296652,0.22334956167908854
52,0.18660287081339713,0.24161345891551442
53,0.18660287081339713,0.24161345891551442
54,0.19138755980861244,0.24489758177540774
55,0.20095693779904306,0.2479297007494217
56,0.21052631578947367,0.25310143105037186
57,0.22966507177033493,0.2546127205162425
58,0.24880382775119617,0.2791756875104849
59,0.28708133971291866,0.2899010433430539
60,0.3397129186602871,0.3323457188032912
61,0.36363636363636365,0.348122747174056
62,0.41148325358851673,0.4148528477833418
63,0.4354066985645933,0.42765998760968665
64,0.4449760765550239,0.4282514702305916
65,0.46411483253588515,0.44719990219255124
66,0.5119617224880383,0.5141547074898285
67,0.5454545454545454,0.5302803143282482
68,0.5598086124401914,0.5322857779838427
69,0.569377990430622,0.5322857779838427
70,0.5885167464114832,0.5344785200077435
71,0.6172248803827751,0.620655189555503
72,0.6411483253588517,0.6407836513616503
73,0.6555023923444976,0.6657158913767851
74,0.6746411483253588,0.6915887795600044
75,0.7033492822966507,0.7205096378643985
76,0.7320574162679426,0.768260631606571
77,0.7368421052631579,0.7718708771423082
78,0.7416267942583732,0.7935323503567315
79,0.7799043062200957,0.8128438910045768
80,0.7942583732057417,0.8205789572792503
81,0.8086124401913876,0.822924486749395
82,0.8325358851674641,0.8668348062424753
83,0.8325358851674641,0.870451803192744
84,0.8421052631578947,0.8817444246158335
85,0.861244019138756,0.8914124502248294
86,0.8660287081339713,0.9044740890250327
87,0.8708133971291866,0.9244876300142646
88,0.8851674641148325,0.9368573955948781
89,0.8995215311004785,0.956759978553985
90,0.9043062200956937,0.9638036119187123
91,0.9090909090909091,0.9638036119187123
92,0.9090909090909091,0.9643357995076458
93,0.9138755980861244,0.9703378070260796
94,0.9186602870813397,0.9703378070260796
95,0.9282296650717703,0.9703378070260796
96,0.9330143540669856,0.9783473329784438
97,0.9425837320574163,0.9794704161087576
98,0.9473684210526315,0.9907598085944627
99,0.9521531100478469,0.9907598085944627
100,0.9712918660287081,0.9935152663425694
101,0.9712918660287081,0.9967742915527916
102,0.9808612440191388,0.9967742915527916
103,0.9904306220095693,0.9967742915527916
104,0.9904306220095693,0.9978113675327704
105,0.9904306220095693,0.9978113675327704
106,0.9904306220095693,0.9978113675327704
107,0.9904306220095693,1.0
108,0.9904306220095693,1.0
109,0.9904306220095693,1.0
110,0.9904306220095693,1.0
111,0.9952153110047847,1.0
112,0.9952153110047847,1.0
113,1.0,1.0
114,1.0,1.0
115,1.0,1.0
116,1.0,1.0
117,1.0,1.0
118,1.0,1.0
119,1.0,1.0
120,1.0,1.0
