TPU,covers_lo_wu,boundary_distance_m,origin_distance_m,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
641,True,0.0,2362.756567209358,,,,,,,
622,False,215.36036756251707,1709.9793951990578,LW,47.0,52.0,63.0,5.0,1.1401754250991378,3.0
629,False,961.8916956693407,2199.083394107075,LW,38.0,41.0,45.0,5.0,0.5477225575051661,1.0
548,False,1038.4786537371726,2004.9888489691464,LW,40.0,41.0,43.0,5.0,0.5477225575051661,1.0
623,False,1108.5125044217534,2126.9555539485145,LW,39.0,41.0,43.0,5.0,0.0,0.0
626,False,1125.5960184673995,2714.2672885266807,LW,21.0,22.0,23.0,5.0,0.0,0.0
624,False,1227.4974224172097,2507.746722738767,LW,19.0,21.0,23.0,5.0,0.0,0.0
549,False,1499.889455466605,2580.185091121796,LW,37.0,42.0,50.0,5.0,1.095445115010332,3.0
545,False,2185.90054107996,2781.6929238321723,LW,39.0,41.0,43.0,5.0,0.4472135954999579,1.0
542,False,2463.846966313158,6451.000106340558,,,,,,,
