from_id,to_id,valid_runs,valid_share,p50_median_30,p50_sd_30,p50_range_30,stable_30_majority
627,LW,30,1.0,20.0,0.18257418583505536,1.0,True
627,LMC,30,1.0,25.0,0.18257418583505536,1.0,True
627,HG,30,1.0,43.0,0.8087168778415268,4.0,True
627,SB,30,1.0,78.0,0.43417248545530474,2.0,True
627,MKT,30,1.0,27.0,0.30512857662936466,1.0,True
627,HYW,30,1.0,37.0,0.4301830671520764,1.0,True
728,LW,30,1.0,43.0,0.0,0.0,True
728,LMC,30,1.0,48.0,0.0,0.0,True
728,HG,0,0.0,,,,False
728,SB,0,0.0,,,,False
728,MKT,30,1.0,55.0,0.3457459036417604,1.0,True
728,HYW,30,1.0,59.0,0.6260623155792925,2.0,True
284,LW,30,1.0,58.0,0.0,0.0,True
284,LMC,30,1.0,63.0,0.0,0.0,True
284,HG,30,1.0,94.0,0.6643638388299197,2.0,True
284,SB,30,1.0,98.0,0.18257418583505536,1.0,True
284,MKT,30,1.0,68.0,0.4982728791224398,1.0,True
284,HYW,30,1.0,78.0,0.34574590364176044,1.0,True
421,LW,30,1.0,87.0,0.6608945522512666,3.0,True
421,LMC,30,1.0,92.0,0.6608945522512666,3.0,True
421,HG,30,1.0,96.0,1.0938700673013826,4.0,True
421,SB,30,1.0,66.0,0.7279320417946061,3.0,True
421,MKT,30,1.0,89.0,0.6617635789938567,2.0,True
421,HYW,30,1.0,98.0,0.5920934999167599,2.0,True
838,LW,30,1.0,76.0,0.0,0.0,True
838,LMC,30,1.0,81.0,0.0,0.0,True
838,HG,30,1.0,111.0,1.069966161243848,4.0,True
838,SB,0,0.0,,,,False
838,MKT,30,1.0,96.0,0.34574590364176044,1.0,True
838,HYW,30,1.0,104.0,0.3051285766293647,1.0,True
835,LW,30,1.0,100.0,0.8583598366625751,3.0,True
835,LMC,30,1.0,106.0,0.8610338613230188,3.0,True
835,HG,0,0.0,,,,False
835,SB,0,0.0,,,,False
835,MKT,0,0.0,,,,False
835,HYW,0,0.0,,,,False
971,LW,0,0.0,,,,False
971,LMC,0,0.0,,,,False
971,HG,0,0.0,,,,False
971,SB,30,1.0,112.0,0.6297235299224025,2.0,True
971,MKT,0,0.0,,,,False
971,HYW,0,0.0,,,,False
622,LW,30,1.0,53.0,1.2525835370311151,5.0,True
622,LMC,30,1.0,58.0,1.2525835370311151,5.0,True
622,HG,30,1.0,76.0,1.2452207485597395,4.0,True
622,SB,30,1.0,109.0,1.3429252681597992,5.0,True
622,MKT,30,1.0,56.0,1.2129568697262456,6.0,True
622,HYW,30,1.0,66.0,1.188546876720022,5.0,True
158,LW,0,0.0,,,,False
158,LMC,0,0.0,,,,False
158,HG,0,0.0,,,,False
158,SB,0,0.0,,,,False
158,MKT,0,0.0,,,,False
158,HYW,0,0.0,,,,False
310,LW,0,0.0,,,,False
310,LMC,0,0.0,,,,False
310,HG,0,0.0,,,,False
310,SB,0,0.0,,,,False
310,MKT,0,0.0,,,,False
310,HYW,0,0.0,,,,False
