"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"284","LW",57,58,59,1
"284","LMC",62,63,64,1
"284","HG",91,94,97,1
"284","SB",96,98,100,1
"284","MKT",67,69,70,1
"284","HYW",77,78,79,1
"421","LW",83,88,92,1
"421","LMC",88,93,97,1
"421","HG",89,98,103,1
"421","SB",62,67,72,1
"421","MKT",86,89,94,1
"421","HYW",94,98,103,1
"622","LW",46,52,65,1
"622","LMC",51,57,70,1
"622","HG",66,75,84,1
"622","SB",101,108,,1
"622","MKT",50,55,67,1
"622","HYW",59,65,76,1
"627","LW",19,20,22,1
"627","LMC",24,25,27,1
"627","HG",39,44,49,1
"627","SB",76,79,81,1
"627","MKT",25,27,29,1
"627","HYW",35,37,39,1
"728","LW",42,43,45,1
"728","LMC",47,48,50,1
"728","MKT",53,55,57,1
"728","HYW",55,59,63,1
"835","LW",94,99,105,1
"835","LMC",100,105,111,1
"838","LW",75,76,77,1
"838","LMC",80,81,82,1
"838","HG",104,109,116,1
"838","MKT",95,96,97,1
"838","HYW",103,104,106,1
"971","SB",107,112,118,1
"284","LW",57,58,59,2
"284","LMC",62,63,64,2
"284","HG",91,94,97,2
"284","SB",96,98,100,2
"284","MKT",67,69,70,2
"284","HYW",76,78,79,2
"421","LW",84,87,91,2
"421","LMC",89,92,96,2
"421","HG",88,95,102,2
"421","SB",62,66,70,2
"421","MKT",86,89,92,2
"421","HYW",95,98,101,2
"622","LW",46,54,61,2
"622","LMC",51,59,66,2
"622","HG",66,76,85,2
"622","SB",102,111,118,2
"622","MKT",49,57,63,2
"622","HYW",59,66,72,2
"627","LW",19,20,21,2
"627","LMC",24,25,26,2
"627","HG",40,44,48,2
"627","SB",76,78,80,2
"627","MKT",25,27,29,2
"627","HYW",35,37,39,2
"728","LW",42,43,44,2
"728","LMC",47,48,49,2
"728","MKT",53,55,56,2
"728","HYW",54,59,63,2
"835","LW",94,100,105,2
"835","LMC",100,106,111,2
"838","LW",75,76,77,2
"838","LMC",80,81,82,2
"838","HG",106,111,117,2
"838","MKT",94,96,97,2
"838","HYW",103,105,106,2
"971","SB",108,112,119,2
"284","LW",57,58,59,3
"284","LMC",62,63,64,3
"284","HG",91,94,97,3
"284","SB",96,98,100,3
"284","MKT",67,68,70,3
"284","HYW",77,77,79,3
"421","LW",84,88,94,3
"421","LMC",89,93,99,3
"421","HG",90,97,104,3
"421","SB",62,67,73,3
"421","MKT",86,90,96,3
"421","HYW",95,99,105,3
"622","LW",47,54,66,3
"622","LMC",52,59,71,3
"622","HG",68,76,87,3
"622","SB",102,110,,3
"622","MKT",50,56,68,3
"622","HYW",60,66,78,3
"627","LW",19,20,21,3
"627","LMC",24,25,26,3
"627","HG",39,44,48,3
"627","SB",76,78,80,3
"627","MKT",25,27,29,3
"627","HYW",35,36,39,3
"728","LW",42,43,44,3
"728","LMC",47,48,49,3
"728","MKT",53,54,56,3
"728","HYW",53,58,62,3
"835","LW",94,99,105,3
"835","LMC",99,105,111,3
"838","LW",75,76,77,3
"838","LMC",80,81,82,3
"838","HG",107,113,117,3
"838","MKT",94,96,97,3
"838","HYW",103,104,106,3
"971","SB",106,112,118,3
"284","LW",57,58,59,4
"284","LMC",62,63,64,4
"284","HG",91,93,97,4
"284","SB",96,98,100,4
"284","MKT",67,68,70,4
"284","HYW",76,78,79,4
"421","LW",83,88,93,4
"421","LMC",88,93,98,4
"421","HG",86,95,103,4
"421","SB",61,66,73,4
"421","MKT",85,90,94,4
"421","HYW",94,99,103,4
"622","LW",46,53,64,4
"622","LMC",51,58,69,4
"622","HG",68,77,85,4
"622","SB",102,109,,4
"622","MKT",50,56,66,4
"622","HYW",60,65,75,4
"627","LW",19,20,22,4
"627","LMC",24,25,27,4
"627","HG",38,43,47,4
"627","SB",76,78,80,4
"627","MKT",25,27,29,4
"627","HYW",35,36,39,4
"728","LW",42,43,45,4
"728","LMC",47,48,50,4
"728","MKT",53,55,57,4
"728","HYW",55,59,63,4
"835","LW",95,100,105,4
"835","LMC",101,105,111,4
"838","LW",75,76,77,4
"838","LMC",80,81,82,4
"838","HG",105,111,116,4
"838","MKT",94,96,96,4
"838","HYW",103,104,105,4
"971","SB",105,112,117,4
"284","LW",57,58,59,5
"284","LMC",62,63,64,5
"284","HG",90,94,98,5
"284","SB",96,98,100,5
"284","MKT",67,69,70,5
"284","HYW",77,78,79,5
"421","LW",84,87,93,5
"421","LMC",89,92,98,5
"421","HG",89,96,102,5
"421","SB",63,67,72,5
"421","MKT",85,89,93,5
"421","HYW",94,98,102,5
"622","LW",46,52,61,5
"622","LMC",51,57,66,5
"622","HG",67,74,86,5
"622","SB",101,107,118,5
"622","MKT",50,55,64,5
"622","HYW",59,65,73,5
"627","LW",19,20,21,5
"627","LMC",24,25,26,5
"627","HG",39,43,48,5
"627","SB",76,78,81,5
"627","MKT",25,26,28,5
"627","HYW",34,36,38,5
"728","LW",42,43,45,5
"728","LMC",47,48,50,5
"728","MKT",53,55,57,5
"728","HYW",54,59,62,5
"835","LW",94,100,105,5
"835","LMC",100,106,111,5
"838","LW",75,76,77,5
"838","LMC",80,81,82,5
"838","HG",106,111,116,5
"838","MKT",94,96,97,5
"838","HYW",103,104,106,5
"971","SB",106,112,118,5
"284","LW",57,58,59,6
"284","LMC",62,63,64,6
"284","HG",91,94,97,6
"284","SB",96,98,100,6
"284","MKT",67,69,70,6
"284","HYW",76,78,79,6
"421","LW",83,87,93,6
"421","LMC",88,92,98,6
"421","HG",87,95,102,6
"421","SB",62,66,73,6
"421","MKT",85,89,94,6
"421","HYW",94,98,103,6
"622","LW",47,55,65,6
"622","LMC",52,60,70,6
"622","HG",67,77,86,6
"622","SB",102,110,,6
"622","MKT",50,56,66,6
"622","HYW",61,66,75,6
"627","LW",19,20,21,6
"627","LMC",24,25,26,6
"627","HG",37,42,47,6
"627","SB",76,78,80,6
"627","MKT",25,27,29,6
"627","HYW",34,37,39,6
"728","LW",42,43,44,6
"728","LMC",47,48,49,6
"728","MKT",53,55,56,6
"728","HYW",55,60,63,6
