"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"111","WKS",41,44,45,1
"112","WKS",28,30,32,1
"113","WKS",27,29,31,1
"114","WKS",27,28,29,1
"115","WKS",28,29,30,1
"116","WKS",32,33,35,1
"121","WKS",20,21,23,1
"122","WKS",26,28,29,1
"123","WKS",21,22,23,1
"124","WKS",18,19,20,1
"131","WKS",26,26,28,1
"132","WKS",30,31,32,1
"133","WKS",29,30,32,1
"134","WKS",28,28,29,1
"135","WKS",31,32,33,1
"140","WKS",38,41,43,1
"141","WKS",42,44,46,1
"142","WKS",28,29,30,1
"143","WKS",31,32,34,1
"144","WKS",39,41,42,1
"145","WKS",42,44,46,1
"146","WKS",26,27,28,1
"147","WKS",32,33,34,1
"148","WKS",40,42,44,1
"149","WKS",40,42,44,1
"151","WKS",34,35,36,1
"152","WKS",43,45,49,1
"153","WKS",28,31,35,1
"154","WKS",37,41,45,1
"155","WKS",34,35,36,1
"156","WKS",51,54,57,1
"157","WKS",34,37,39,1
"161","WKS",40,41,42,1
"162","WKS",57,59,62,1
"163","WKS",52,53,54,1
"164","WKS",56,58,61,1
"165","WKS",46,49,51,1
"166","WKS",49,52,54,1
"167","WKS",72,,,1
"171","WKS",45,46,48,1
"172","WKS",40,42,45,1
"173","WKS",62,63,65,1
"174","WKS",43,44,46,1
"175","WKS",39,40,42,1
"181","WKS",61,65,69,1
"182","WKS",56,61,63,1
"184","WKS",58,62,66,1
"190","WKS",50,54,57,1
"191","WKS",50,52,53,1
"192","WKS",49,51,53,1
"193","WKS",65,67,69,1
"195","WKS",59,61,63,1
"196","WKS",77,83,88,1
"197","WKS",74,80,85,1
"198","WKS",81,85,90,1
"211","WKS",11,13,15,1
"212","WKS",13,15,16,1
"213","WKS",21,22,24,1
"214","WKS",12,14,15,1
"215","WKS",17,18,19,1
"216","WKS",13,14,15,1
"217","WKS",22,23,24,1
"220","WKS",10,11,12,1
"221","WKS",18,19,20,1
"222","WKS",15,16,17,1
"225","WKS",11,11,12,1
"226","WKS",16,17,18,1
"227","WKS",14,15,16,1
"228","WKS",10,11,12,1
"229","WKS",12,13,14,1
"231","WKS",19,20,22,1
"232","WKS",21,21,23,1
"233","WKS",22,23,24,1
"234","WKS",22,23,24,1
"235","WKS",18,20,22,1
"236","WKS",23,24,25,1
"237","WKS",25,26,28,1
"241","WKS",17,19,21,1
"242","WKS",23,24,26,1
"243","WKS",17,19,21,1
"244","WKS",20,22,24,1
"245","WKS",18,21,23,1
"246","WKS",21,23,25,1
"247","WKS",23,25,28,1
"251","WKS",13,13,13,1
"252","WKS",12,12,12,1
"253","WKS",15,18,20,1
"254","WKS",22,24,25,1
"255","WKS",20,22,25,1
"256","WKS",15,17,19,1
"260","WKS",21,22,24,1
"261","WKS",32,34,36,1
"262","WKS",28,30,32,1
"263","WKS",32,34,35,1
"264","WKS",19,20,23,1
"265","WKS",16,18,20,1
"266","WKS",17,18,19,1
"267","WKS",11,13,15,1
"268","WKS",25,27,28,1
"269","WKS",34,38,42,1
"271","WKS",23,24,25,1
"272","WKS",29,30,31,1
"280","WKS",30,32,34,1
"281","WKS",33,35,36,1
"282","WKS",30,31,32,1
"283","WKS",30,32,34,1
"284","WKS",29,31,33,1
"285","WKS",26,28,29,1
"286","WKS",23,27,30,1
"287","WKS",27,29,32,1
"288","WKS",47,49,51,1
"290","WKS",38,42,45,1
"291","WKS",33,36,38,1
"292","WKS",37,39,41,1
"293","WKS",36,38,41,1
"294","WKS",35,38,40,1
"295","WKS",34,36,39,1
"296","WKS",44,46,48,1
"297","WKS",37,40,44,1
"298","WKS",36,39,43,1
"320","WKS",27,29,30,1
"321","WKS",47,50,52,1
"322","WKS",47,50,52,1
"323","WKS",42,43,44,1
"324","WKS",32,33,35,1
"325","WKS",46,47,49,1
"326","WKS",38,39,41,1
"327","WKS",51,53,55,1
"328","WKS",37,39,42,1
"329","WKS",42,44,46,1
"334","WKS",58,61,65,1
"335","WKS",57,59,60,1
"336","WKS",56,57,60,1
"350","WKS",53,54,56,1
"351","WKS",55,56,58,1
"421","WKS",85,90,95,1
"423","WKS",59,61,62,1
"424","WKS",57,59,61,1
"426","WKS",62,63,65,1
"427","WKS",67,69,72,1
"428","WKS",75,77,79,1
"442","WKS",78,83,87,1
"510","WKS",48,50,51,1
"511","WKS",76,78,80,1
"512","WKS",68,70,72,1
"514","WKS",74,77,81,1
"515","WKS",63,64,66,1
"517","WKS",66,68,70,1
"518","WKS",59,61,65,1
"519","WKS",59,61,64,1
"521","WKS",54,57,59,1
"522","WKS",81,83,87,1
"523","WKS",68,75,84,1
"524","WKS",41,42,44,1
"525","WKS",61,63,64,1
"526","WKS",56,59,63,1
"527","WKS",48,50,51,1
"528","WKS",60,64,69,1
"529","WKS",51,55,57,1
"531","WKS",70,73,76,1
"532","WKS",72,76,80,1
"533","WKS",68,72,76,1
"541","WKS",70,73,75,1
"543","WKS",74,79,84,1
"544","WKS",76,78,80,1
"545","WKS",95,97,100,1
"546","WKS",103,106,109,1
"547","WKS",88,91,95,1
"548","WKS",96,98,100,1
"549","WKS",94,99,109,1
"621","WKS",83,86,89,1
"622","WKS",103,110,,1
"623","WKS",95,98,100,1
"624","WKS",74,75,77,1
"625","WKS",71,72,74,1
"626","WKS",69,71,72,1
"627","WKS",67,69,71,1
"628","WKS",63,64,66,1
"629","WKS",95,97,102,1
"631","WKS",80,82,85,1
"634","WKS",99,101,103,1
"720","WKS",101,,,1
"722","WKS",77,79,81,1
"723","WKS",57,58,59,1
"725","WKS",68,69,70,1
"726","WKS",60,61,62,1
"727","WKS",78,81,83,1
"728","WKS",76,78,79,1
"729","WKS",63,66,68,1
"751","WKS",74,77,79,1
"753","WKS",62,65,67,1
"754","WKS",41,45,47,1
"755","WKS",38,41,44,1
"756","WKS",54,56,58,1
"757","WKS",66,67,69,1
"758","WKS",42,44,45,1
"759","WKS",42,44,47,1
"811","WKS",102,112,,1
"820","WKS",64,66,69,1
"822","WKS",78,82,85,1
"825","WKS",67,70,73,1
"826","WKS",55,58,60,1
"827","WKS",69,71,73,1
"828","WKS",58,60,63,1
"831","WKS",52,55,57,1
"832","WKS",64,67,72,1
"835","WKS",61,67,72,1
"836","WKS",43,46,48,1
"837","WKS",49,53,55,1
"838","WKS",46,48,50,1
"839","WKS",52,54,58,1
"912","WKS",82,87,91,1
"920","WKS",97,100,105,1
"951","WKS",101,104,107,1
"971","WKS",82,87,95,1
"972","WKS",90,96,100,1
"973","WKS",86,103,,1
"975","WKS",52,54,56,1
"111","WKS",41,43,45,2
"112","WKS",28,30,32,2
"113","WKS",27,29,30,2
"114","WKS",26,28,29,2
"115","WKS",28,29,30,2
"116","WKS",32,33,34,2
"121","WKS",20,21,23,2
"122","WKS",27,28,29,2
"123","WKS",21,22,23,2
"124","WKS",18,19,20,2
"131","WKS",25,26,28,2
"132","WKS",29,30,32,2
"133","WKS",29,31,31,2
"134","WKS",27,28,29,2
"135","WKS",32,32,33,2
"140","WKS",38,40,43,2
"141","WKS",43,44,46,2
"142","WKS",29,30,31,2
"143","WKS",31,32,33,2
"144","WKS",40,41,42,2
"145","WKS",42,44,46,2
"146","WKS",26,27,28,2
"147","WKS",32,33,34,2
"148","WKS",40,43,44,2
"149","WKS",40,42,45,2
"151","WKS",33,35,36,2
"152","WKS",41,45,47,2
"153","WKS",27,32,37,2
"154","WKS",38,42,45,2
"155","WKS",34,35,36,2
"156","WKS",51,54,57,2
"157","WKS",34,36,39,2
"161","WKS",40,41,41,2
"162","WKS",57,59,61,2
