"stpug_id","stpug_name_en","is_composite","group_size","stpug_name_zh","population","median_hh_income","median_emp_income","area_km2","pop_density_km2"
"111","111",FALSE,1,"111",60366,40480,23750,1.73427009773246,34807.7269388015
"112","112",FALSE,1,"112",50278,34140,22000,0.618865188804093,81242.2493777008
"113","113",FALSE,1,"113",22945,40540,30000,0.375692613062343,61073.8651818861
"114","114",FALSE,1,"114",7871,42330,30000,0.216214432076251,36403.6753902911
"115","115",FALSE,1,"115",1908,21430,18000,0.127002422274016,15023.3355068092
"116","116",FALSE,1,"116",12924,30290,20000,0.121954295117849,105974.127336073
"121S","121 and 123 - 124",TRUE,3,"121 及 123 - 124",1153,50000,30170,1.51345869299863,761.831165484635
"122","122",FALSE,1,"122",5161,43040,32820,0.122456883046178,42145.4463940079
"131","131",FALSE,1,"131",26192,40000,28000,0.41122567979239,63692.5204019924
"132","132",FALSE,1,"132",15928,34400,24000,0.326557639967797,48775.4627378208
"133","133",FALSE,1,"133",10383,26300,20000,0.154520673493253,67194.8922126162
"134S","134-135",TRUE,2,"134-135",1518,40100,41500,0.476090680390669,3188.46821104409
"140","140",FALSE,1,"140",7681,93800,50000,0.633465064128587,12125.3727079112
"141","141",FALSE,1,"141",20331,84320,45000,1.20345195332947,16893.9025307594
"142","142",FALSE,1,"142",38287,95060,60000,0.588017153931629,65112.0460415204
"143","143",FALSE,1,"143",11103,125000,70830,0.516929362869196,21478.7566687511
"144","144",FALSE,1,"144",32202,67920,50000,1.36828352939586,23534.5959431508
"145","145",FALSE,1,"145",11832,70000,50000,0.618638977878008,19125.8559888756
"146S","146 - 147",TRUE,2,"146 - 147",16900,33400,23690,0.651132727655576,25954.7697146924
"148","148",FALSE,1,"148",9257,20380,19000,0.302516525165286,30599.9812570313
"149","149",FALSE,1,"149",7949,135500,60000,0.60906507918854,13051.1504790104
"151","151",FALSE,1,"151",45562,46770,30000,0.449870211896198,101278.099316593
"152","152",FALSE,1,"152",19356,88340,53000,0.796694819317104,24295.3757583
"153","153",FALSE,1,"153",70027,32440,22000,0.59737667197657,117224.195863388
"154","154",FALSE,1,"154",11131,28060,18500,0.402431632508625,27659.3565237728
"155","155",FALSE,1,"155",18755,31650,20000,0.418288774948714,44837.4451413369
"156S","156 and 158",TRUE,2,"156 及 158",47847,40210,28000,6.7326233374059,7106.73946872477
"157","157",FALSE,1,"157",50689,51580,35000,0.607786275683972,83399.3823617639
"161","161",FALSE,1,"161",82183,27540,20000,1.23362137498605,66619.3061067291
"162","162",FALSE,1,"162",18774,53070,30180,0.85804117206612,21880.0689421385
"163","163",FALSE,1,"163",40894,30400,19000,0.842015561126749,48566.7983917986
"164S","164 - 165",TRUE,2,"164 - 165",54572,21340,15300,2.26560888117905,24087.1230923142
"166","166",FALSE,1,"166",36634,25760,16500,0.791499732814085,46284.2859968532
"167","167",FALSE,1,"167",54435,33210,19500,2.17837261029353,24988.8378796064
"171","171",FALSE,1,"171",20217,110650,50000,2.50147010808861,8082.04740669394
"172","172",FALSE,1,"172",54741,25080,17000,1.6452731954947,33271.6780106179
"173","173",FALSE,1,"173",58601,25280,17000,1.80166204503735,32526.0778853702
"174","174",FALSE,1,"174",79727,33270,20000,1.40149610607616,56887.0649403484
"175S","175 - 176",TRUE,2,"175 - 176",11674,34640,20000,3.81827208783075,3057.40390717736
"181S","181 - 182",TRUE,2,"181 - 182",3626,163770,80000,5.5265474019414,656.10583539485
"183S","183 - 184",TRUE,2,"183 - 184",5115,120090,55000,3.4762043757291,1471.43247264545
"190S","190, 192 and 194",TRUE,3,"190, 192 及 194",12363,117730,65000,12.3243374370748,1003.13709058379
"191","191",FALSE,1,"191",4162,145220,50000,2.15732250754761,1929.24330295486
"193S","193, 195 and 198",TRUE,3,"193, 195 及 198",14912,43100,20000,4.04797014539825,3683.82163513533
"196","196",FALSE,1,"196",4573,157040,65000,6.06536841296917,753.952553025775
"197","197",FALSE,1,"197",2790,47100,25000,5.13101428102377,543.752140842477
"211","211",FALSE,1,"211",13664,24040,20000,0.57650404596373,23701.4815345453
"212","212",FALSE,1,"212",14551,28000,20000,0.475806010223001,30581.7910815801
"213S","213 and 215 - 216",TRUE,3,"213 及 215 - 216",12905,62730,35810,0.993848992406123,12984.8700341858
"214","214",FALSE,1,"214",4870,26540,22810,0.122293500609737,39822.2307458608
"217","217",FALSE,1,"217",4633,47700,40000,0.158421701248789,29244.7307627649
"220S","220 and 226",TRUE,2,"220 及 226",11607,36390,25000,0.787814914824923,14733.1559501884
"221","221",FALSE,1,"221",79898,23030,18000,0.738683745172092,108162.661656222
"222","222",FALSE,1,"222",19223,20020,18000,0.385883663024098,49815.5320941886
"225","225",FALSE,1,"225",39854,21550,17000,0.343848065061869,115905.843451028
"227","227",FALSE,1,"227",18400,22760,20000,0.192503873731013,95582.4921513549
"228","228",FALSE,1,"228",14490,18160,15000,0.0933078435116354,155292.411170055
"229","229",FALSE,1,"229",15842,20000,16000,0.153341124346989,103312.141915379
"231","231",FALSE,1,"231",6541,74340,36000,0.127317058597629,51375.6763787016
"232","232",FALSE,1,"232",4030,75040,40000,0.27278204882644,14773.6994327076
"233","233",FALSE,1,"233",3467,65140,40000,0.261083510580119,13279.2760151587
"234","234",FALSE,1,"234",14059,60470,30000,0.383131640524285,36694.959415937
"235","235",FALSE,1,"235",16052,49750,31000,0.219583552695321,73102.0142582019
"236","236",FALSE,1,"236",29334,26500,20000,0.460133441725426,63751.0716239233
"237","237",FALSE,1,"237",21469,24070,18000,0.373190521492999,57528.2563825854
"241","241",FALSE,1,"241",43322,27220,19000,0.354352894227218,122256.656304382
"242","242",FALSE,1,"242",48753,23140,18300,0.391152912058865,124639.235697837
"243","243",FALSE,1,"243",33985,21640,18000,0.343813990619052,98847.0537188103
"244","244",FALSE,1,"244",23324,39070,26250,0.355715703402467,65569.2165875808
"245","245",FALSE,1,"245",45645,40040,26000,0.349111886011114,130746.049702091
"246","246",FALSE,1,"246",16785,25060,20000,0.31352481503887,53536.4321893277
"247","247",FALSE,1,"247",6405,36120,23000,0.133368077032129,48024.9857577012
"251S","251 and 256",TRUE,2,"251 及 256",18343,86170,47700,0.878089576784848,20889.6683037321
"252","252",FALSE,1,"252",1200,52040,36000,0.435377581267277,2756.22827548239
"253","253",FALSE,1,"253",32342,38040,22010,0.513740441570189,62953.9693257365
"254","254",FALSE,1,"254",21191,81040,50000,0.430014083022245,49279.7813761457
"255","255",FALSE,1,"255",69907,32100,20000,0.811913642089378,86101.5216102311
"260","260",FALSE,1,"260",44201,48700,30000,0.906964564575605,48735.0903512784
"261","261",FALSE,1,"261",11052,22750,19000,0.95443683240485,11579.603410896
"262","262",FALSE,1,"262",34664,18880,14310,0.525258844751941,65994.1290781509
"263","263",FALSE,1,"263",54891,17290,15000,1.29081541884063,42524.2828671053
"264","264",FALSE,1,"264",71231,20040,17000,0.79586736136131,89501.0946021976
"265","265",FALSE,1,"265",20237,17510,16000,0.315722556997428,64097.4157578639
"266","266",FALSE,1,"266",49936,17540,15000,0.420875240831666,118647.986755706
"267","267",FALSE,1,"267",37181,18320,15000,0.26947621162837,137975.073106919
"268","268",FALSE,1,"268",25222,25140,21250,1.33396274864823,18907.5744622995
"269","269",FALSE,1,"269",10779,25190,18000,1.69824564709286,6347.13830619969
"271","271",FALSE,1,"271",16911,88100,44560,1.56608176871492,10798.2867419986
"272","272",FALSE,1,"272",10015,76720,40000,0.813493102133981,12311.1062327736
"280","280",FALSE,1,"280",38848,29040,21000,1.3829237907782,28091.2081049234
"281","281",FALSE,1,"281",190329,24040,16700,2.86493199655838,66434.0376067008
"282","282",FALSE,1,"282",53722,25040,17500,1.07491458275167,49977.9246295806
"283","283",FALSE,1,"283",61646,19540,16000,0.767096987506238,80362.7194527324
"284","284",FALSE,1,"284",18789,23510,20000,0.382703627388269,49095.4322231646
"285","285",FALSE,1,"285",15619,22040,20000,0.327880038181122,47636.3248175907
"286","286",FALSE,1,"286",42575,19540,16070,3.10660754340513,13704.6599562859
"287","287",FALSE,1,"287",17972,16800,15000,0.132348689616519,135792.806502837
"288S","288 - 289",TRUE,2,"288 - 289",64344,29130,18000,4.10046160163799,15691.8918529311
"290","290",FALSE,1,"290",52702,30440,20000,1.08428595939683,48605.2591046346
"291","291",FALSE,1,"291",87920,20130,16000,1.06170930475607,82809.8610477937
"292","292",FALSE,1,"292",73666,20390,15000,1.33036630464482,55372.7193351212
"293S","293 and 296",TRUE,2,"293 及 296",104855,20470,15000,1.83469692984641,57151.128502067
"294","294",FALSE,1,"294",158821,19330,15800,1.78470479184563,88990.0675594408
"295","295",FALSE,1,"295",1900,15000,11750,0.710883322288901,2672.73115070752
"297","297",FALSE,1,"297",98452,23880,18000,1.23392216043775,79787.853040157
"298","298",FALSE,1,"298",55979,30840,19500,1.21685102311073,46003.1663176785
"310S","310 and 321",TRUE,2,"310 及 321",7991,29480,18810,17.5980189440146,454.085202739136
"320S","320, 324 and 329",TRUE,3,"320, 324 及 329",124311,29990,20000,6.1403876138213,20244.8131645941
"322","322",FALSE,1,"322",3399,45140,23750,0.523196909772504,6496.59800452176
"323","323",FALSE,1,"323",78334,40190,24000,2.2753276028862,34427.5698587909
"325","325",FALSE,1,"325",55537,20140,15000,1.31365251068813,42276.7813772213
"326","326",FALSE,1,"326",156842,21270,15500,2.01700303243902,77759.9227554667
"327","327",FALSE,1,"327",106812,21850,15570,3.99167982800234,26758.6591616629
"328","328",FALSE,1,"328",54288,25610,18000,2.10648624390079,25771.8274482864
