"stpug_id","stpug_name_en","is_composite","group_size","tpu_id"
"111","111",FALSE,1,"111"
"112","112",FALSE,1,"112"
"113","113",FALSE,1,"113"
"114","114",FALSE,1,"114"
"115","115",FALSE,1,"115"
"116","116",FALSE,1,"116"
"121S","121 and 123 - 124",TRUE,3,"121"
"121S","121 and 123 - 124",TRUE,3,"123"
"121S","121 and 123 - 124",TRUE,3,"124"
"122","122",FALSE,1,"122"
"131","131",FALSE,1,"131"
"132","132",FALSE,1,"132"
"133","133",FALSE,1,"133"
"134S","134-135",TRUE,2,"134"
"134S","134-135",TRUE,2,"135"
"140","140",FALSE,1,"140"
"141","141",FALSE,1,"141"
"142","142",FALSE,1,"142"
"143","143",FALSE,1,"143"
"144","144",FALSE,1,"144"
"145","145",FALSE,1,"145"
"146S","146 - 147",TRUE,2,"146"
"146S","146 - 147",TRUE,2,"147"
"148","148",FALSE,1,"148"
"149","149",FALSE,1,"149"
"151","151",FALSE,1,"151"
"152","152",FALSE,1,"152"
"153","153",FALSE,1,"153"
"154","154",FALSE,1,"154"
"155","155",FALSE,1,"155"
"156S","156 and 158",TRUE,2,"156"
"156S","156 and 158",TRUE,2,"158"
"157","157",FALSE,1,"157"
"161","161",FALSE,1,"161"
"162","162",FALSE,1,"162"
"163","163",FALSE,1,"163"
"164S","164 - 165",TRUE,2,"164"
"164S","164 - 165",TRUE,2,"165"
"166","166",FALSE,1,"166"
"167","167",FALSE,1,"167"
"171","171",FALSE,1,"171"
"172","172",FALSE,1,"172"
"173","173",FALSE,1,"173"
"174","174",FALSE,1,"174"
"175S","175 - 176",TRUE,2,"175"
"175S","175 - 176",TRUE,2,"176"
"181S","181 - 182",TRUE,2,"181"
"181S","181 - 182",TRUE,2,"182"
"183S","183 - 184",TRUE,2,"183"
"183S","183 - 184",TRUE,2,"184"
"190S","190, 192 and 194",TRUE,3,"190"
"190S","190, 192 and 194",TRUE,3,"192"
"190S","190, 192 and 194",TRUE,3,"194"
"191","191",FALSE,1,"191"
"193S","193, 195 and 198",TRUE,3,"193"
"193S","193, 195 and 198",TRUE,3,"195"
"193S","193, 195 and 198",TRUE,3,"198"
"196","196",FALSE,1,"196"
"197","197",FALSE,1,"197"
"211","211",FALSE,1,"211"
"212","212",FALSE,1,"212"
"213S","213 and 215 - 216",TRUE,3,"213"
"213S","213 and 215 - 216",TRUE,3,"215"
"213S","213 and 215 - 216",TRUE,3,"216"
"214","214",FALSE,1,"214"
"217","217",FALSE,1,"217"
"220S","220 and 226",TRUE,2,"220"
"220S","220 and 226",TRUE,2,"226"
"221","221",FALSE,1,"221"
"222","222",FALSE,1,"222"
"225","225",FALSE,1,"225"
"227","227",FALSE,1,"227"
"228","228",FALSE,1,"228"
"229","229",FALSE,1,"229"
"231","231",FALSE,1,"231"
"232","232",FALSE,1,"232"
"233","233",FALSE,1,"233"
"234","234",FALSE,1,"234"
"235","235",FALSE,1,"235"
"236","236",FALSE,1,"236"
"237","237",FALSE,1,"237"
"241","241",FALSE,1,"241"
"242","242",FALSE,1,"242"
"243","243",FALSE,1,"243"
"244","244",FALSE,1,"244"
"245","245",FALSE,1,"245"
"246","246",FALSE,1,"246"
"247","247",FALSE,1,"247"
"251S","251 and 256",TRUE,2,"251"
"251S","251 and 256",TRUE,2,"256"
"252","252",FALSE,1,"252"
"253","253",FALSE,1,"253"
"254","254",FALSE,1,"254"
"255","255",FALSE,1,"255"
"260","260",FALSE,1,"260"
"261","261",FALSE,1,"261"
"262","262",FALSE,1,"262"
"263","263",FALSE,1,"263"
"264","264",FALSE,1,"264"
"265","265",FALSE,1,"265"
"266","266",FALSE,1,"266"
"267","267",FALSE,1,"267"
"268","268",FALSE,1,"268"
"269","269",FALSE,1,"269"
"271","271",FALSE,1,"271"
"272","272",FALSE,1,"272"
"280","280",FALSE,1,"280"
"281","281",FALSE,1,"281"
"282","282",FALSE,1,"282"
"283","283",FALSE,1,"283"
"284","284",FALSE,1,"284"
"285","285",FALSE,1,"285"
"286","286",FALSE,1,"286"
"287","287",FALSE,1,"287"
"288S","288 - 289",TRUE,2,"288"
"288S","288 - 289",TRUE,2,"289"
"290","290",FALSE,1,"290"
"291","291",FALSE,1,"291"
"292","292",FALSE,1,"292"
"293S","293 and 296",TRUE,2,"293"
"293S","293 and 296",TRUE,2,"296"
"294","294",FALSE,1,"294"
"295","295",FALSE,1,"295"
"297","297",FALSE,1,"297"
"298","298",FALSE,1,"298"
"310S","310 and 321",TRUE,2,"310"
"310S","310 and 321",TRUE,2,"321"
"320S","320, 324 and 329",TRUE,3,"320"
"320S","320, 324 and 329",TRUE,3,"324"
"320S","320, 324 and 329",TRUE,3,"329"
"322","322",FALSE,1,"322"
"323","323",FALSE,1,"323"
"325","325",FALSE,1,"325"
"326","326",FALSE,1,"326"
"327","327",FALSE,1,"327"
"328","328",FALSE,1,"328"
"331S","331 - 334, 336 and 340",TRUE,6,"331"
"331S","331 - 334, 336 and 340",TRUE,6,"332"
"331S","331 - 334, 336 and 340",TRUE,6,"333"
"331S","331 - 334, 336 and 340",TRUE,6,"334"
