stop_id,stop_name,stop_lat,stop_lon
MTR_ADM,Admiralty,22.2786,114.1649
MTR_EXC,Exhibition Centre,22.281,114.1748
MTR_HUH,Hung Hom,22.3028,114.182
MTR_MKK,Mong Kok East,22.3194,114.1864
MTR_KOT,Kowloon Tong,22.3362,114.1762
MTR_TAW,Tai Wai,22.3731,114.1783
MTR_SHT,Sha Tin,22.3813,114.1878
MTR_FOT,Fo Tan,22.3952,114.1981
MTR_UNI,University,22.4134,114.21
MTR_TAP,Tai Po Market,22.4448,114.1713
MTR_TWO,Tai Wo,22.4543,114.1624
MTR_FAN,Fanling,22.4921,114.138
MTR_SHS,Sheung Shui,22.5012,114.128
MTR_LOW,Lo Wu,22.5281,114.1142
MTR_LMC,Lok Ma Chau,22.5147,114.0692
MTR_CEN,Central,22.2822,114.1577
MTR_SHW,Sheung Wan,22.2867,114.1508
MTR_SYP,Sai Ying Pun,22.2851,114.1441
MTR_HKU,HKU,22.2835,114.1355
MTR_KET,Kennedy Town,22.2812,114.1286
MTR_WAC,Wan Chai,22.2791,114.1727
MTR_CAB,Causeway Bay,22.28,114.1838
MTR_TIH,Tin Hau,22.2819,114.1912
MTR_FOH,Fortress Hill,22.2867,114.1962
MTR_NOP,North Point,22.2912,114.1898
MTR_QUB,Quarry Bay,22.2884,114.2099
MTR_TAK,Tai Koo,22.2846,114.2163
MTR_SWH,Sai Wan Ho,22.2811,114.2225
MTR_SKW,Shau Kei Wan,22.2795,114.229
MTR_HFC,Heng Fa Chuen,22.2748,114.2398
MTR_CHW,Chai Wan,22.2668,114.2371
MTR_TST,Tsim Sha Tsui,22.2971,114.1718
MTR_JOR,Jordan,22.3049,114.1719
MTR_YMT,Yau Ma Tei,22.3126,114.1713
MTR_MOK,Mong Kok,22.3197,114.1693
MTR_PRE,Prince Edward,22.3247,114.1676
MTR_SKM,Shek Kip Mei,22.333,114.168
MTR_LOF,Lok Fu,22.3399,114.1871
MTR_WTS,Wong Tai Sin,22.3427,114.1939
MTR_DIH,Diamond Hill,22.3387,114.2009
MTR_CHH,Choi Hung,22.3349,114.2094
MTR_KOB,Kowloon Bay,22.3235,114.2147
MTR_NTK,Ngau Tau Kok,22.3155,114.2205
MTR_KWT,Kwun Tong,22.3115,114.2264
MTR_LAT,Lam Tin,22.3072,114.2327
MTR_YAT,Yau Tong,22.2979,114.2371
MTR_TIK,Tiu Keng Leng,22.3053,114.2527
MTR_HOM,Ho Man Tin,22.3104,114.1828
MTR_WHA,Whampoa,22.3049,114.1893
MTR_KWF,Kwai Fong,22.357,114.1285
MTR_KWH,Kwai Hing,22.3634,114.1315
MTR_TWH,Tai Wo Hau,22.3699,114.1251
MTR_TSW,Tsuen Wan,22.3726,114.1178
MTR_LAK,Lai King,22.3483,114.1284
MTR_MEF,Mei Foo,22.3386,114.1374
MTR_LCK,Lai Chi Kok,22.3308,114.1477
MTR_CSW,Cheung Sha Wan,22.3281,114.1564
MTR_SSP,Sham Shui Po,22.3301,114.162
MTR_HOK,Hong Kong (TCL),22.2851,114.1584
MTR_KOW,Kowloon (TCL),22.3049,114.1616
MTR_OLY,Olympic,22.3175,114.1599
MTR_NAC,Nam Cheong,22.3273,114.1488
MTR_TSY,Tsing Yi,22.3594,114.1069
MTR_AUS,Austin,22.3033,114.1647
MTR_ETS,East Tsim Sha Tsui,22.2972,114.1749
MTR_TWW,Tsuen Wan West,22.3701,114.1126
MTR_KSR,Kam Sheung Road,22.4328,114.0612
MTR_YUL,Yuen Long,22.4448,114.034
MTR_LOP,Long Ping,22.4536,114.0255
MTR_TIS,Tin Shui Wai,22.4596,114
MTR_SIH,Siu Hong,22.4668,113.9928
MTR_TUM,Tuen Mun,22.3936,113.9736
MTR_TUC,Tung Chung,22.2586,113.9428
MTR_SUN,Sunny Bay,22.3239,113.9985
MTR_WKS,Wu Kai Sha,22.4284,114.243
MTR_MOS,Ma On Shan,22.4215,114.2361
MTR_HEO,Heng On,22.412,114.2315
MTR_TSH,Tai Shui Hang,22.4038,114.2252
MTR_SHM,Shek Mun,22.3935,114.2126
MTR_CIO,City One,22.3867,114.2057
MTR_STW,Sha Tin Wai,22.3801,114.1983
MTR_CKT,Che Kung Temple,22.3762,114.1902
MTR_HIK,Hin Keng,22.3611,114.1736
MTR_KAT,Kai Tak,22.3276,114.1999
MTR_SUW,Sung Wong Toi,22.3249,114.1918
MTR_TKW,To Kwa Wan,22.3168,114.1873
MTR_POA,Po Lam,22.3228,114.258
MTR_HAH,Hang Hau,22.3156,114.2671
MTR_TKO,Tseung Kwan O,22.3075,114.2597
MTR_LHP,LOHAS Park,22.2963,114.2797
MTR_OCP,Ocean Park,22.2485,114.1744
MTR_WCH,Wong Chuk Hang,22.2471,114.1699
MTR_LET,Lei Tung,22.2425,114.1578
MTR_SOH,South Horizons,22.2422,114.1494
