area_id,min_tt,nearest_bcp,bcps_within_45,bcps_within_60,bcps_within_75,bcps_within_90
111,86.0,LW,0,0,0,1
112,76.0,LW,0,0,0,4
113,72.0,LW,0,0,1,4
114,70.0,LW,0,0,2,5
115,70.0,LW,0,0,2,5
116,77.0,LW,0,0,0,3
121,71.0,LW,0,0,1,6
122,70.0,LW,0,0,2,5
123,63.0,LW,0,0,3,6
124,60.0,LW,0,1,3,6
131,66.0,LW,0,0,2,5
132,67.0,LW,0,0,2,5
133,67.0,LW,0,0,2,5
134,59.0,LW,0,1,3,6
135,63.0,LW,0,0,3,6
140,81.0,LW,0,0,0,2
141,88.0,LW,0,0,0,1
142,72.0,LW,0,0,1,3
143,75.0,LW,0,0,1,3
144,76.0,LW,0,0,0,3
145,82.0,LW,0,0,0,2
146,69.0,LW,0,0,2,5
147,73.0,LW,0,0,1,3
148,78.0,LW,0,0,0,3
149,79.0,LW,0,0,0,2
151,73.0,LW,0,0,1,3
152,82.0,LW,0,0,0,2
153,76.0,LW,0,0,0,3
154,85.0,LW,0,0,0,2
155,75.0,LW,0,0,1,3
156,94.0,LW,0,0,0,0
157,76.0,LW,0,0,0,3
161,81.0,LW,0,0,0,2
162,100.0,LW,0,0,0,0
163,93.0,LW,0,0,0,0
164,100.0,LW,0,0,0,0
165,90.0,LW,0,0,0,1
166,89.0,LW,0,0,0,1
171,89.0,LW,0,0,0,1
172,84.0,LW,0,0,0,2
173,98.0,LW,0,0,0,0
174,81.0,LW,0,0,0,2
175,79.0,LW,0,0,0,3
181,102.0,LW,0,0,0,0
182,103.0,LW,0,0,0,0
184,99.0,LW,0,0,0,0
190,95.0,LW,0,0,0,0
191,85.0,LW,0,0,0,2
192,85.0,LW,0,0,0,2
193,102.0,LW,0,0,0,0
195,96.0,LW,0,0,0,0
211,68.0,LW,0,0,3,6
212,65.0,LW,0,0,3,6
213,65.0,LW,0,0,3,6
214,60.0,LW,0,1,5,6
215,59.0,LW,0,1,3,6
216,66.0,LW,0,0,2,6
217,59.0,LW,0,1,3,6
220,59.0,LW,0,1,3,6
221,60.0,LW,0,1,3,6
222,58.0,LW,0,1,3,6
225,65.0,LW,0,0,2,6
226,68.0,LW,0,0,2,6
227,60.0,LW,0,1,3,6
228,61.0,LW,0,0,3,6
229,59.0,LW,0,1,3,6
231,60.0,LW,0,1,3,5
232,64.0,LW,0,0,2,5
233,66.0,LW,0,0,2,5
234,59.0,LW,0,1,3,5
235,67.0,LW,0,0,2,5
236,66.0,LW,0,0,2,6
237,62.0,LW,0,0,3,5
241,51.0,LW,0,2,4,6
242,58.0,LW,0,1,3,6
243,61.0,LW,0,0,3,6
244,60.0,LW,0,1,3,6
245,62.0,LW,0,0,3,6
246,60.0,LW,0,1,3,5
247,60.0,LW,0,1,3,6
251,68.0,LW,0,0,3,6
252,72.0,LW,0,0,1,6
253,62.0,LW,0,0,2,6
254,67.0,LW,0,0,2,6
255,66.0,LW,0,0,2,6
256,70.0,LW,0,0,2,6
260,61.0,LW,0,0,5,6
261,75.0,LW,0,0,1,3
262,72.0,LW,0,0,1,4
263,66.0,LW,0,0,2,5
