stpug_id,stpug_name_en,is_composite,group_size,stpug_name_zh,population,median_hh_income,median_emp_income,area_km2,pop_density_km2,min_tt,nearest_bcp,bcps_within_45,bcps_within_60,bcps_within_75,bcps_within_90
111,111,False,1,111,60366.0,40480.0,23750.0,1.7342700977324585,34807.7269388015,86.0,LW,0,0,0,1
112,112,False,1,112,50278.0,34140.0,22000.0,0.6188651888040928,81242.2493777008,76.0,LW,0,0,0,4
113,113,False,1,113,22945.0,40540.0,30000.0,0.37569261306234264,61073.86518188606,72.0,LW,0,0,1,4
114,114,False,1,114,7871.0,42330.0,30000.0,0.21621443207625113,36403.675390291144,70.0,LW,0,0,2,5
115,115,False,1,115,1908.0,21430.0,18000.0,0.12700242227401584,15023.335506809217,70.0,LW,0,0,2,5
116,116,False,1,116,12924.0,30290.0,20000.0,0.12195429511784914,105974.12733607324,77.0,LW,0,0,0,3
121S,121 and 123 - 124,True,3,121 及 123 - 124,1153.0,50000.0,30170.0,1.5134586929986313,761.8311654846352,66.0,LW,0,0,2,6
122,122,False,1,122,5161.0,43040.0,32820.0,0.12245688304617815,42145.44639400794,70.0,LW,0,0,2,5
131,131,False,1,131,26192.0,40000.0,28000.0,0.4112256797923902,63692.520401992384,66.0,LW,0,0,2,5
132,132,False,1,132,15928.0,34400.0,24000.0,0.326557639967797,48775.462737820846,67.0,LW,0,0,2,5
133,133,False,1,133,10383.0,26300.0,20000.0,0.15452067349325307,67194.89221261619,67.0,LW,0,0,2,5
134S,134-135,True,2,134-135,1518.0,40100.0,41500.0,0.47609068039066904,3188.46821104409,55.0,LW,0,2,3,6
140,140,False,1,140,7681.0,93800.0,50000.0,0.6334650641285874,12125.372707911214,81.0,LW,0,0,0,2
141,141,False,1,141,20331.0,84320.0,45000.0,1.2034519533294676,16893.90253075937,87.0,LW,0,0,0,1
142,142,False,1,142,38287.0,95060.0,60000.0,0.5880171539316289,65112.046041520385,71.0,LW,0,0,1,3
143,143,False,1,143,11103.0,125000.0,70830.0,0.5169293628691958,21478.756668751106,75.0,LW,0,0,1,3
144,144,False,1,144,32202.0,67920.0,50000.0,1.3682835293958646,23534.59594315082,76.0,LW,0,0,0,3
145,145,False,1,145,11832.0,70000.0,50000.0,0.618638977878008,19125.85598887563,82.0,LW,0,0,0,2
146S,146 - 147,True,2,146 - 147,16900.0,33400.0,23690.0,0.6511327276555756,25954.76971469242,71.0,LW,0,0,1,4
148,148,False,1,148,9257.0,20380.0,19000.0,0.30251652516528615,30599.98125703132,78.0,LW,0,0,0,3
149,149,False,1,149,7949.0,135500.0,60000.0,0.6090650791885401,13051.150479010363,79.0,LW,0,0,0,2
151,151,False,1,151,45562.0,46770.0,30000.0,0.44987021189619797,101278.09931659327,73.0,LW,0,0,1,3
152,152,False,1,152,19356.0,88340.0,53000.0,0.7966948193171036,24295.37575830005,82.0,LW,0,0,0,2
153,153,False,1,153,70027.0,32440.0,22000.0,0.5973766719765697,117224.1958633875,76.0,LW,0,0,0,3
154,154,False,1,154,11131.0,28060.0,18500.0,0.4024316325086253,27659.356523772844,85.0,LW,0,0,0,2
155,155,False,1,155,18755.0,31650.0,20000.0,0.4182887749487143,44837.44514133692,75.0,LW,0,0,1,3
157,157,False,1,157,50689.0,51580.0,35000.0,0.6077862756839716,83399.38236176391,76.0,LW,0,0,0,3
161,161,False,1,161,82183.0,27540.0,20000.0,1.2336213749860547,66619.30610672908,82.0,LW,0,0,0,2
162,162,False,1,162,18774.0,53070.0,30180.0,0.8580411720661204,21880.068942138456,100.0,LW,0,0,0,0
163,163,False,1,163,40894.0,30400.0,19000.0,0.842015561126749,48566.79839179861,93.0,LW,0,0,0,0
164S,164 - 165,True,2,164 - 165,54572.0,21340.0,15300.0,2.2656088811790496,24087.12309231419,96.0,LW,0,0,0,0
166,166,False,1,166,36634.0,25760.0,16500.0,0.7914997328140847,46284.285996853214,89.0,LW,0,0,0,1
171,171,False,1,171,20217.0,110650.0,50000.0,2.501470108088615,8082.0474066939405,89.0,LW,0,0,0,1
172,172,False,1,172,54741.0,25080.0,17000.0,1.6452731954946973,33271.67801061792,85.0,LW,0,0,0,2
173,173,False,1,173,58601.0,25280.0,17000.0,1.801662045037345,32526.077885370178,98.0,LW,0,0,0,0
174,174,False,1,174,79727.0,33270.0,20000.0,1.401496106076162,56887.06494034838,82.0,LW,0,0,0,2
175S,175 - 176,True,2,175 - 176,11674.0,34640.0,20000.0,3.8182720878307523,3057.4039071773605,77.0,LW,0,0,0,3
181S,181 - 182,True,2,181 - 182,3626.0,163770.0,80000.0,5.5265474019414045,656.1058353948495,92.0,LW,0,0,0,0
191,191,False,1,191,4162.0,145220.0,50000.0,2.1573225075476086,1929.2433029548556,86.0,LW,0,0,0,1
193S,"193, 195 and 198",True,3,"193, 195 及 198",14912.0,43100.0,20000.0,4.047970145398252,3683.821635135333,107.0,LW,0,0,0,0
211,211,False,1,211,13664.0,24040.0,20000.0,0.5765040459637304,23701.48153454528,68.0,LW,0,0,3,6
212,212,False,1,212,14551.0,28000.0,20000.0,0.47580601022300123,30581.791081580122,65.0,LW,0,0,3,6
213S,213 and 215 - 216,True,3,213 及 215 - 216,12905.0,62730.0,35810.0,0.9938489924061226,12984.870034185788,62.0,LW,0,0,3,6
214,214,False,1,214,4870.0,26540.0,22810.0,0.12229350060973666,39822.23074586078,60.0,LW,0,1,5,6
217,217,False,1,217,4633.0,47700.0,40000.0,0.15842170124878874,29244.730762764884,59.0,LW,0,1,3,6
220S,220 and 226,True,2,220 及 226,11607.0,36390.0,25000.0,0.7878149148249226,14733.155950188431,66.0,LW,0,0,2,6
221,221,False,1,221,79898.0,23030.0,18000.0,0.7386837451720922,108162.6616562221,60.0,LW,0,1,3,6
222,222,False,1,222,19223.0,20020.0,18000.0,0.38588366302409766,49815.53209418861,58.0,LW,0,1,3,6
225,225,False,1,225,39854.0,21550.0,17000.0,0.3438480650618691,115905.84345102831,65.0,LW,0,0,2,6
227,227,False,1,227,18400.0,22760.0,20000.0,0.19250387373101338,95582.49215135489,60.0,LW,0,1,3,6
228,228,False,1,228,14490.0,18160.0,15000.0,0.09330784351163544,155292.41117005458,61.0,LW,0,0,3,6
229,229,False,1,229,15842.0,20000.0,16000.0,0.15334112434698932,103312.1419153794,59.0,LW,0,1,3,6
231,231,False,1,231,6541.0,74340.0,36000.0,0.12731705859762943,51375.67637870162,60.0,LW,0,1,3,5
232,232,False,1,232,4030.0,75040.0,40000.0,0.27278204882644036,14773.699432707605,64.0,LW,0,0,2,5
233,233,False,1,233,3467.0,65140.0,40000.0,0.26108351058011875,13279.276015158686,65.0,LW,0,0,2,5
234,234,False,1,234,14059.0,60470.0,30000.0,0.3831316405242849,36694.959415937,58.0,LW,0,1,3,5
235,235,False,1,235,16052.0,49750.0,31000.0,0.21958355269532115,73102.01425820192,67.0,LW,0,0,2,5
236,236,False,1,236,29334.0,26500.0,20000.0,0.46013344172542636,63751.071623923315,66.0,LW,0,0,2,6
237,237,False,1,237,21469.0,24070.0,18000.0,0.37319052149299903,57528.256382585416,62.0,LW,0,0,3,5
241,241,False,1,241,43322.0,27220.0,19000.0,0.35435289422721766,122256.65630438206,51.0,LW,0,2,4,6
242,242,False,1,242,48753.0,23140.0,18300.0,0.3911529120588647,124639.23569783663,58.0,LW,0,1,3,6
243,243,False,1,243,33985.0,21640.0,18000.0,0.3438139906190522,98847.05371881032,61.0,LW,0,0,3,6
244,244,False,1,244,23324.0,39070.0,26250.0,0.35571570340246705,65569.21658758076,60.0,LW,0,1,3,6
245,245,False,1,245,45645.0,40040.0,26000.0,0.3491118860111145,130746.04970209129,63.0,LW,0,0,3,6
