stpug_id,min_tt,median_hh_income,pop_density_km2,gwr_intercept,gwr_income_beta,gwr_density_beta,gwr_income_t,gwr_income_significant
111,86.0,40480.0,34807.7269388015,75.60097683342588,1.818114639016633,-1.624258899359166,1.4071323467737262,False
112,76.0,34140.0,81242.2493777008,72.24552310546747,2.524772559351348,-0.7487000699114956,1.990402804319341,False
113,72.0,40540.0,61073.86518188606,70.40473689557399,2.961999412154201,0.09216263403540159,2.3349407541283598,False
114,70.0,42330.0,36403.675390291144,69.42454970351093,3.1968561371039295,0.5544510053269005,2.5048574826713477,False
115,70.0,21430.0,15023.335506809217,70.41297004120598,2.8794878824177697,-0.028659496694626085,2.2342070648890817,False
116,77.0,30290.0,105974.12733607324,73.82085976796695,2.239361570923781,-1.012973110361127,1.7267463115700334,False
121S,66.0,50000.0,761.8311654846352,68.1726808927514,3.42217042513498,0.9865846198894747,2.7013544660588855,False
122,70.0,43040.0,42145.44639400794,69.89878945075795,3.1461817464976964,0.7306093861392702,2.4564091321295707,False
131,66.0,40000.0,63692.520401992384,68.46728390629508,3.3462777257231577,0.7514914054503214,2.897905829631409,True
132,67.0,34400.0,48775.462737820846,68.74604684448062,3.2740193003723834,0.662967367111226,2.830362885415878,True
133,67.0,26300.0,67194.89221261619,68.15328353924639,3.4374729451409705,0.9400070643571352,2.7815406846985353,False
134S,55.0,40100.0,3188.46821104409,67.22931773167439,3.652544477690066,1.2615135356873202,2.885383754745134,True
140,81.0,93800.0,12125.372707911214,70.30758118311007,2.813589682657458,-0.0052906915525055,2.6367750667651872,False
141,87.0,84320.0,16893.90253075937,73.75877604741885,2.2529951106865402,-0.876578659148322,1.7868599021489606,False
142,71.0,95060.0,65112.046041520385,71.27747223190904,2.850174670515159,0.30300222002555977,2.2547002338112856,False
143,75.0,125000.0,21478.756668751103,70.95504640275767,2.776971628603115,0.1055318994723713,2.404209479843295,False
144,76.0,67920.0,23534.59594315082,70.91683910831394,2.6824461236077566,0.11777062587409937,2.3240144273770045,False
145,82.0,70000.0,19125.85598887563,71.23861378625821,2.531085382590936,0.2418755954923011,1.8914494850146537,False
146S,71.0,33400.0,25954.76971469242,69.40621356451237,3.0297329215261657,0.5792364065975768,2.095890878405403,False
148,78.0,20380.0,30599.98125703132,72.91526098600727,1.8851703297700313,-0.3114266548353761,1.2614104959545953,False
149,79.0,135500.0,13051.150479010365,73.48951838070678,1.7889809352929928,-0.47513994588889474,1.3617631395224787,False
151,73.0,46770.0,101278.09931659327,69.92893474007141,2.75027975157676,-0.2067471650390722,1.6600852629750638,False
152,82.0,88340.0,24295.37575830005,72.3185920453352,1.8971734829209055,-0.7059137784725404,1.1311614695757168,False
153,76.0,32440.0,117224.1958633875,71.90219815519052,1.8995257339263283,-1.2178570251197192,1.107383765451468,False
154,85.0,28060.0,27659.356523772844,75.31994090423845,0.8842440333411901,-1.8797375957460192,0.5135985004944911,False
155,75.0,31650.0,44837.44514133692,76.99963224525786,0.4546143539513974,-2.3858731215846687,0.2690745555372748,False
157,76.0,51580.0,83399.38236176391,79.56080100088228,0.0414008404812396,-3.4040915703933186,0.024649652915744124,False
161,82.0,27540.0,66619.30610672908,82.86162202221158,-0.5810536116782465,-4.938807914772527,-0.3524997029170182,False
162,100.0,53070.0,21880.068942138456,83.89335467377204,-0.8649085364034459,-5.591328117012306,-0.554028457243483,False
163,93.0,30400.0,48566.79839179861,84.62693757543111,-1.2303834968135856,-5.989292252984241,-0.8149368957787517,False
164S,96.0,21340.0,24087.12309231419,84.18701236495086,-1.4057030940387403,-5.649949674125907,-0.9700369072524258,False
166,89.0,25760.0,46284.285996853214,81.81540807430471,-0.7998005890635316,-4.072491960409824,-0.5023761878180913,False
171,89.0,110650.0,8082.0474066939405,75.97561122695095,1.716780066288098,-1.3500104095649625,1.3914875373266982,False
172,85.0,25080.0,33271.67801061792,76.02317622646882,1.6350425195139247,-1.2715952930144336,1.4080056929944844,False
173,98.0,25280.0,32526.077885370178,75.51191652233169,1.6459592327088586,-1.1951010313268782,1.4962121436470217,False
174,82.0,33270.0,56887.06494034838,76.69752733110272,1.270529810082482,-1.89829514925664,1.14727511148813,False
175S,77.0,34640.0,3057.4039071773605,75.90568579857259,1.3281959297142465,-1.9111859226163848,1.2023137121999719,False
181S,92.0,163770.0,656.1058353948495,73.99473036003538,2.0988477129510223,-0.6937794446678165,1.825571911745932,False
191,86.0,145220.0,1929.2433029548556,76.55006959756011,0.922679767110812,-2.42763975607026,0.8134209921265134,False
193S,107.0,43100.0,3683.821635135333,83.98689535810561,-1.6651632641074885,-7.434236622778089,-1.3102728923999696,False
211,68.0,24040.0,23701.48153454528,64.39847680343482,0.7239622527061158,-0.815978018276164,0.2866992270434413,False
212,65.0,28000.0,30581.79108158012,63.72736583110789,0.4589092341844214,-0.9231797909375503,0.1841910583510168,False
213S,62.0,62730.0,12984.870034185788,63.74508705402775,1.2842442567592247,-0.33821621494033993,0.5025510476656992,False
214,60.0,26540.0,39822.23074586078,64.24152723328092,1.2588308495188052,-0.07347974494947174,0.459554733702708,False
217,59.0,47700.0,29244.730762764884,64.24177214020119,1.5510551317151489,-0.4740367837322492,0.6666851888491372,False
220S,66.0,36390.0,14733.155950188431,63.31591231251224,0.11262712016938536,-1.30777870772679,0.05127879203056934,False
221,60.0,23030.0,108162.6616562221,64.44188837861648,-1.3960671257364372,-2.012791719618123,-0.7407394790518627,False
222,58.0,20020.0,49815.53209418861,62.59419500163369,-0.7282821549697696,-1.0634948487389382,-0.3645712254984983,False
225,65.0,21550.0,115905.84345102833,63.870971556430874,0.37522086687269507,-1.3396944662209807,0.16215275335912085,False
227,60.0,22760.0,95582.49215135488,62.95030120111543,-0.20031093808940081,-1.172992478381813,-0.10010101635013822,False
228,61.0,18160.0,155292.41117005458,63.65369328634862,-0.08966010238375421,-1.413715953623293,-0.04418478295730463,False
229,59.0,20000.0,103312.1419153794,63.69387326560819,-0.5144877385471105,-1.5202290328660517,-0.2666830624719838,False
231,60.0,74340.0,51375.67637870162,61.367782716385236,-1.1149140772045119,-0.9463501805249495,-0.5141133363572357,False
232,64.0,75040.0,14773.699432707605,62.17397028511844,-0.8126224266901243,-1.0644107873539381,-0.40666946444884655,False
233,65.0,65140.0,13279.276015158686,61.59544445257299,-1.2676051157410164,-1.2480302512215955,-0.5796383152373508,False
234,58.0,60470.0,36694.959415937,62.18858596232634,-0.9788923793529332,-1.3698512660477506,-0.4505868192756272,False
235,67.0,49750.0,73102.01425820192,62.762737317510314,-0.5265770268234533,-1.27625174179835,-0.27125536727658534,False
236,66.0,26500.0,63751.071623923315,63.043163111656355,-0.45848907949311446,-1.4257992721194466,-0.21727113946131632,False
237,62.0,24070.0,57528.256382585416,62.766783465833896,-1.0521476238332346,-1.5832017937780813,-0.5160970366735064,False
241,51.0,27220.0,122256.65630438206,62.65076769649224,-1.7068339609728547,-1.945835320739839,-0.759594219462094,False
242,58.0,23140.0,124639.23569783664,62.77407097737833,-2.100453853876706,-2.1359054318811053,-0.9415440473205112,False
243,61.0,21640.0,98847.05371881032,63.36386001719394,-0.2979354875606717,-1.3375664501419822,-0.12473533959414769,False
244,60.0,39070.0,65569.21658758076,63.4180233945418,-0.9135704398713722,-1.6470278650960481,-0.3676222854201988,False
245,63.0,40040.0,130746.04970209127,64.4018223201391,0.7520356641713946,-1.0281981320634663,0.3321553226346587,False
246,60.0,25060.0,53536.432189327745,62.04727148598104,-1.9367105389957002,-1.7433397925993965,-0.9127889560527117,False
247,60.0,36120.0,48024.9857577012,63.03243490438997,-2.256162405848924,-2.287536297453785,-0.9970940222626571,False
251S,66.0,86170.0,20889.668303732135,65.49498091130181,0.52846407153696,-1.4282830186143043,0.23616405849049332,False
252,72.0,52040.0,2756.228275482389,64.77259033291168,0.09890785150108972,-1.7307255555447414,0.04330160705028121,False
253,62.0,38040.0,62953.96932573646,64.79280456586241,-0.4291183033768098,-1.923923849292919,-0.20837889672471266,False
254,67.0,81040.0,49279.781376145664,66.31193027683129,-1.810605715494285,-2.9520117491530984,-0.9086270897408139,False
255,66.0,32100.0,86101.52161023107,67.13154619700772,-3.1890137654585216,-3.7062203711912467,-1.6073597505436152,False
260,61.0,48700.0,48735.09035127841,68.79854725791675,-4.0927508933685495,-4.8648186474578425,-1.937945345517071,False
261,75.0,22750.0,11579.60341089602,66.50503349425213,-4.0962010445851655,-3.6564914547861824,-2.0876299692269678,False
262,72.0,18880.0,65994.12907815092,64.72535209047187,-3.517303826874032,-2.6063439653747684,-1.7889999619320038,False
263,66.0,17290.0,42524.282867105314,63.09388360656365,-2.82903919171609,-1.6404457985096879,-1.4045155021101852,False
264,65.0,20040.0,89501.09460219763,66.31320015382583,-3.539135589335955,-3.380486186286408,-1.7955921991655708,False
265,63.0,17510.0,64097.41575786388,65.65080710718414,-2.9017902491260426,-2.8824091824326,-1.4736408758012474,False
266,62.0,17540.0,118647.98675570592,65.06921088061421,-2.3551107781903715,-2.4736595877289957,-1.2082086313693663,False
267,59.0,18320.0,137975.07310691927,63.89460826675977,-1.8388631608118005,-1.7892395546500461,-0.9352642599951025,False
268,56.0,25140.0,18907.574462299468,62.00610801127223,-1.9368607057211453,-0.9952170895703127,-0.9399029669659171,False
269,88.0,25190.0,6347.13830619969,69.57490393815554,-2.920492515328336,-4.745294481595581,-1.266564664076367,False
271,50.0,88100.0,10798.286741998583,61.200649081465556,-2.059279818793531,-0.9167659525410574,-0.9840106963355821,False
272,56.0,76720.0,12311.106232773613,61.094002413612515,-2.2268648400924254,-1.1623582146881795,-1.0419975205324223,False
280,67.0,29040.0,28091.208104923433,65.7515569872615,-5.025664528135876,-3.6202814252577067,-2.3243711505813867,False
281,62.0,24040.0,66434.03760670076,63.0276938614345,-4.7552531680073455,-3.8076951016042706,-2.101330560002688,False
282,58.0,25040.0,49977.9246295806,61.32197285141432,-3.0035356095663746,-1.7569787672463528,-1.3781385108906077,False
283,62.0,19540.0,80362.71945273243,62.46281757976337,-3.5573560016635346,-2.741608340231073,-1.6388151460137428,False
284,58.0,23510.0,49095.43222316464,63.551381758489725,-4.449107327634108,-3.5964119232164737,-2.0597299913227674,False
285,62.0,22040.0,47636.32481759074,61.91662728083231,-2.577239466473311,-2.0160739790200894,-1.1991535606518298,False
286,74.0,19540.0,13704.659956285885,64.54480003308844,-4.048845010938339,-3.115050756380673,-1.8747093843769016,False
287,60.0,16800.0,135792.806502837,64.9848457556262,-5.499602422782047,-4.272575088556097,-2.5983230317040906,False
288S,89.0,29130.0,15691.89185293111,66.92145790892934,-6.859509381527911,-6.107331010386526,-3.2029880578921275,True
290,80.0,30440.0,48605.25910463457,80.77827543991145,4.816516596007592,-4.483318599895488,1.6623460658947344,False
291,66.0,20130.0,82809.86104779367,67.42484371525885,-5.903142521987768,-4.617506287324932,-2.5231591013361503,False
292,74.0,20390.0,55372.719335121226,73.54287500500561,-2.4432591633224234,-6.003139168133352,-0.8781308160595219,False
