grain,weighting,variable,n,minimum,maximum,mean,sd,p10,p25,median,p75,p90,gini,zero_count,zero_share,population
TPU,equal,min_tt,209,20.0,113.0,67.0,17.864070084949844,43.0,59.0,66.0,79.0,89.20000000000002,0.14832980082531877,0,0.0,
TPU,equal,bcps_within_45,209,0.0,5.0,0.27751196172248804,0.8712951958813068,0.0,0.0,0.0,0.0,1.0,0.9137106088104273,182,0.8708133971291866,
TPU,equal,bcps_within_60,209,0.0,5.0,0.7894736842105263,1.4154654747189905,0.0,0.0,0.0,1.0,4.0,0.7780194287371321,138,0.6602870813397129,
TPU,equal,bcps_within_75,209,0.0,6.0,2.1196172248803826,1.875973554146146,0.0,0.0,2.0,3.0,5.0,0.49512350545972983,62,0.2966507177033493,
TPU,equal,bcps_within_90,209,0.0,6.0,3.971291866028708,2.040253273300246,1.0,2.0,5.0,6.0,6.0,0.2819968870698104,20,0.09569377990430622,
STPUG,population,min_tt,176,20.0,107.0,64.62239265140818,17.777104672993588,39.0,56.0,66.0,76.0,86.0,0.15382892374799417,0,0.0,6813387.0
STPUG,population,bcps_within_45,176,0.0,5.0,0.3776751562769002,0.9982753269949968,0.0,0.0,0.0,0.0,1.0,0.8770344351601913,153,0.8122422812618746,6813387.0
STPUG,population,bcps_within_60,176,0.0,5.0,0.8719234647907127,1.4777888689279397,0.0,0.0,0.0,1.0,3.0,0.7671001016706337,116,0.6676542811967088,6813387.0
STPUG,population,bcps_within_75,176,0.0,6.0,2.2124175538539057,2.038503525948944,0.0,0.0,2.0,4.0,6.0,0.5120424396095316,51,0.2794903621356016,6813387.0
STPUG,population,bcps_within_90,176,0.0,6.0,3.9669632739194176,1.84715327817158,1.0,2.0,4.0,6.0,6.0,0.2597032790015744,11,0.03619638808128762,6813387.0
