TPU,min_tt,bcps_within_60,min_tt_cluster_raw,min_tt_cluster_fdr_bh,min_tt_p_sim,bcps_within_60_cluster_raw,bcps_within_60_cluster_fdr_bh,bcps_within_60_p_sim
111,86.0,0.0,High-High,Not significant,0.029,Low-Low,Low-Low,0.001
112,76.0,0.0,Not significant,Not significant,0.124,Low-Low,Low-Low,0.001
113,72.0,0.0,Not significant,Not significant,0.126,Low-Low,Low-Low,0.001
114,70.0,0.0,Not significant,Not significant,0.318,Low-Low,Low-Low,0.001
115,70.0,0.0,Not significant,Not significant,0.285,Low-Low,Low-Low,0.001
116,77.0,0.0,High-High,Not significant,0.049,Low-Low,Low-Low,0.001
121,71.0,0.0,Not significant,Not significant,0.42,Low-Low,Low-Low,0.001
122,70.0,0.0,Not significant,Not significant,0.408,Low-Low,Low-Low,0.001
123,63.0,0.0,Not significant,Not significant,0.369,Not significant,Not significant,0.267
124,60.0,1.0,Not significant,Not significant,0.497,Not significant,Not significant,0.118
131,66.0,0.0,Not significant,Not significant,0.483,Not significant,Not significant,0.214
132,67.0,0.0,Low-High,Low-High,0.001,Low-Low,Low-Low,0.001
133,67.0,0.0,Low-Low,Low-Low,0.001,Not significant,Not significant,0.27
134,59.0,1.0,Not significant,Not significant,0.377,Not significant,Not significant,0.183
135,63.0,0.0,Not significant,Not significant,0.49,Not significant,Not significant,0.269
140,81.0,0.0,High-High,Not significant,0.02,Low-Low,Low-Low,0.001
141,88.0,0.0,High-High,High-High,0.009,Low-Low,Low-Low,0.001
142,72.0,0.0,High-High,Not significant,0.024,Not significant,Not significant,0.066
143,75.0,0.0,Not significant,Not significant,0.133,Not significant,Not significant,0.18
144,76.0,0.0,High-High,High-High,0.011,Low-Low,Low-Low,0.001
145,82.0,0.0,Not significant,Not significant,0.124,Low-Low,Low-Low,0.001
146,69.0,0.0,Not significant,Not significant,0.257,Low-Low,Low-Low,0.001
147,73.0,0.0,Not significant,Not significant,0.297,Low-Low,Low-Low,0.001
148,78.0,0.0,High-High,Not significant,0.021,Low-Low,Low-Low,0.001
149,79.0,0.0,High-High,Not significant,0.022,Low-Low,Low-Low,0.001
151,73.0,0.0,Not significant,Not significant,0.073,Low-Low,Low-Low,0.001
152,82.0,0.0,Not significant,Not significant,0.095,Low-Low,Low-Low,0.001
153,76.0,0.0,Not significant,Not significant,0.095,Low-Low,Low-Low,0.001
154,85.0,0.0,Not significant,Not significant,0.135,Low-Low,Low-Low,0.001
155,75.0,0.0,High-High,Not significant,0.029,Low-Low,Low-Low,0.001
156,94.0,0.0,Not significant,Not significant,0.057,Low-Low,Low-Low,0.001
157,76.0,0.0,High-High,Not significant,0.043,Low-Low,Low-Low,0.001
161,81.0,0.0,High-High,High-High,0.001,Low-Low,Low-Low,0.001
162,100.0,0.0,High-High,High-High,0.002,Low-Low,Low-Low,0.001
163,93.0,0.0,High-High,High-High,0.01,Low-Low,Low-Low,0.001
164,100.0,0.0,High-High,High-High,0.003,Low-Low,Low-Low,0.001
165,90.0,0.0,High-High,High-High,0.001,Low-Low,Low-Low,0.001
166,89.0,0.0,High-High,High-High,0.007,Low-Low,Low-Low,0.001
171,89.0,0.0,High-High,High-High,0.003,Low-Low,Low-Low,0.001
172,84.0,0.0,High-High,High-High,0.001,Low-Low,Low-Low,0.001
173,98.0,0.0,High-High,Not significant,0.016,Low-Low,Low-Low,0.001
174,81.0,0.0,High-Low,High-Low,0.001,Low-Low,Low-Low,0.001
175,79.0,0.0,High-High,High-High,0.002,Low-Low,Low-Low,0.001
181,102.0,0.0,High-High,High-High,0.005,Low-Low,Low-Low,0.001
182,103.0,0.0,High-High,High-High,0.001,Low-Low,Low-Low,0.001
184,99.0,0.0,High-High,High-High,0.003,Low-Low,Low-Low,0.001
190,95.0,0.0,High-High,Not significant,0.015,Low-Low,Low-Low,0.001
191,85.0,0.0,Not significant,Not significant,0.094,Low-Low,Low-Low,0.001
192,85.0,0.0,High-High,High-High,0.002,Low-Low,Low-Low,0.001
193,102.0,0.0,High-High,Not significant,0.021,Low-Low,Low-Low,0.001
195,96.0,0.0,High-High,High-High,0.012,Low-Low,Low-Low,0.001
211,68.0,0.0,Not significant,Not significant,0.441,Not significant,Not significant,0.132
212,65.0,0.0,Not significant,Not significant,0.346,Not significant,Not significant,0.269
213,65.0,0.0,Not significant,Not significant,0.239,Not significant,Not significant,0.28
214,60.0,1.0,Not significant,Not significant,0.397,Not significant,Not significant,0.182
215,59.0,1.0,Not significant,Not significant,0.328,Not significant,Not significant,0.138
216,66.0,0.0,Not significant,Not significant,0.325,Not significant,Not significant,0.42
217,59.0,1.0,Not significant,Not significant,0.341,Not significant,Not significant,0.425
220,59.0,1.0,Not significant,Not significant,0.283,Not significant,Not significant,0.277
221,60.0,1.0,Not significant,Not significant,0.17,Not significant,Not significant,0.394
222,58.0,1.0,Not significant,Not significant,0.082,Not significant,Not significant,0.371
225,65.0,0.0,Not significant,Not significant,0.383,Low-Low,Low-Low,0.028
226,68.0,0.0,Not significant,Not significant,0.265,Not significant,Not significant,0.097
227,60.0,1.0,Not significant,Not significant,0.196,Not significant,Not significant,0.284
228,61.0,0.0,Not significant,Not significant,0.301,Not significant,Not significant,0.235
229,59.0,1.0,Not significant,Not significant,0.151,Not significant,Not significant,0.482
231,60.0,1.0,Not significant,Not significant,0.147,Not significant,Not significant,0.482
232,64.0,0.0,Not significant,Not significant,0.209,Not significant,Not significant,0.486
233,66.0,0.0,Not significant,Not significant,0.241,Not significant,Not significant,0.478
234,59.0,1.0,Not significant,Not significant,0.229,Not significant,Not significant,0.239
235,67.0,0.0,Low-Low,Low-Low,0.001,Not significant,Not significant,0.377
236,66.0,0.0,Not significant,Not significant,0.277,Not significant,Not significant,0.213
237,62.0,0.0,Not significant,Not significant,0.184,Not significant,Not significant,0.478
241,51.0,2.0,Not significant,Not significant,0.147,Not significant,Not significant,0.483
242,58.0,1.0,Not significant,Not significant,0.18,Not significant,Not significant,0.381
243,61.0,0.0,Not significant,Not significant,0.153,Not significant,Not significant,0.395
244,60.0,1.0,Not significant,Not significant,0.138,Not significant,Not significant,0.421
245,62.0,0.0,Not significant,Not significant,0.291,Not significant,Not significant,0.491
246,60.0,1.0,Not significant,Not significant,0.192,Not significant,Not significant,0.424
247,60.0,1.0,Not significant,Not significant,0.365,Not significant,Not significant,0.393
251,68.0,0.0,Not significant,Not significant,0.425,Low-Low,Low-Low,0.001
252,72.0,0.0,Not significant,Not significant,0.376,Low-Low,Low-Low,0.001
253,62.0,0.0,Not significant,Not significant,0.312,Not significant,Not significant,0.291
254,67.0,0.0,Low-High,Low-High,0.001,Not significant,Not significant,0.125
255,66.0,0.0,Not significant,Not significant,0.463,Low-Low,Low-Low,0.001
256,70.0,0.0,Not significant,Not significant,0.476,Low-Low,Low-Low,0.001
260,61.0,0.0,Not significant,Not significant,0.189,Low-Low,Low-Low,0.001
261,75.0,0.0,Not significant,Not significant,0.493,Low-Low,Low-Low,0.001
262,72.0,0.0,Not significant,Not significant,0.499,Low-Low,Low-Low,0.001
263,66.0,0.0,Not significant,Not significant,0.181,Not significant,Not significant,0.419
264,65.0,0.0,Not significant,Not significant,0.453,Low-Low,Low-Low,0.001
265,63.0,0.0,Not significant,Not significant,0.377,Low-Low,Low-Low,0.001
266,62.0,0.0,Not significant,Not significant,0.345,Not significant,Not significant,0.1
267,59.0,1.0,Not significant,Not significant,0.2,Not significant,Not significant,0.431
268,56.0,1.0,Not significant,Not significant,0.155,Not significant,Not significant,0.331
269,88.0,0.0,Not significant,Not significant,0.446,Low-Low,Low-Low,0.001
271,50.0,2.0,Not significant,Not significant,0.112,Not significant,Not significant,0.361
272,56.0,1.0,Not significant,Not significant,0.149,Not significant,Not significant,0.323
280,67.0,0.0,Low-High,Low-High,0.001,Not significant,Not significant,0.129
281,62.0,0.0,Not significant,Not significant,0.335,Not significant,Not significant,0.382
282,58.0,1.0,Not significant,Not significant,0.139,Not significant,Not significant,0.453
283,62.0,0.0,Not significant,Not significant,0.134,Not significant,Not significant,0.473
284,58.0,1.0,Not significant,Not significant,0.44,High-Low,High-Low,0.001
285,62.0,0.0,Not significant,Not significant,0.235,Not significant,Not significant,0.428
286,74.0,0.0,Not significant,Not significant,0.24,Not significant,Not significant,0.232
287,60.0,1.0,Not significant,Not significant,0.438,High-Low,High-Low,0.001
288,74.0,0.0,Not significant,Not significant,0.43,Not significant,Not significant,0.178
290,80.0,0.0,Not significant,Not significant,0.277,Low-Low,Low-Low,0.001
