from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
111,HG,101.0,105.0,110.0,5,0.5477225575051661,1.0
111,HYW,105.0,106.0,107.0,5,0.0,0.0
111,LMC,90.0,91.0,92.0,5,0.0,0.0
111,LW,85.0,86.0,87.0,5,0.0,0.0
111,MKT,96.0,97.0,98.0,5,0.0,0.0
111,SB,107.0,111.0,115.0,5,0.8944271909999159,2.0
112,HG,86.0,89.0,93.0,5,0.4472135954999579,1.0
112,HYW,97.0,99.0,100.0,5,0.4472135954999579,1.0
112,LMC,80.0,81.0,83.0,5,0.0,0.0
112,LW,75.0,76.0,78.0,5,0.0,0.0
112,MKT,88.0,90.0,91.0,5,0.4472135954999579,1.0
112,SB,94.0,97.0,100.0,5,0.7071067811865476,2.0
113,HG,85.0,89.0,94.0,5,0.4472135954999579,1.0
113,HYW,90.0,92.0,93.0,5,0.0,0.0
113,LMC,76.0,77.0,78.0,5,0.0,0.0
113,LW,71.0,72.0,73.0,5,0.0,0.0
113,MKT,81.0,83.0,84.0,5,0.0,0.0
113,SB,92.0,96.0,99.0,5,0.8944271909999159,2.0
114,HG,79.0,83.0,89.0,5,0.4472135954999579,1.0
114,HYW,89.0,90.0,92.0,5,0.0,0.0
114,LMC,74.0,75.0,76.0,5,0.0,0.0
114,LW,69.0,70.0,71.0,5,0.0,0.0
114,MKT,80.0,81.0,82.0,5,0.0,0.0
114,SB,89.0,91.0,94.0,5,0.4472135954999579,1.0
115,HG,83.0,87.0,92.0,5,0.8366600265340756,2.0
115,HYW,89.0,90.0,92.0,5,0.0,0.0
115,LMC,74.0,75.0,76.0,5,0.0,0.0
115,LW,69.0,70.0,71.0,5,0.0,0.0
115,MKT,80.0,81.0,83.0,5,0.0,0.0
115,SB,95.0,99.0,102.0,5,0.4472135954999579,1.0
116,HG,91.0,94.0,98.0,5,0.4472135954999579,1.0
116,HYW,95.0,96.0,98.0,5,0.0,0.0
116,LMC,80.0,82.0,83.0,5,0.0,0.0
116,LW,75.0,77.0,78.0,5,0.0,0.0
116,MKT,86.0,87.0,88.0,5,0.0,0.0
116,SB,99.0,102.0,105.0,5,0.5477225575051661,1.0
121S,HG,78.0,82.0,85.0,5,0.5477225575051661,1.0
121S,HYW,84.0,86.0,87.0,5,0.4472135954999579,1.0
121S,LMC,70.0,71.0,72.0,5,0.0,0.0
121S,LW,65.0,66.0,67.0,5,0.0,0.0
121S,MKT,75.0,77.0,78.0,5,0.5477225575051661,1.0
121S,SB,86.0,88.0,90.0,5,0.0,0.0
122,HG,81.0,85.0,88.0,5,0.5477225575051661,1.0
122,HYW,89.0,90.0,92.0,5,0.5477225575051661,1.0
122,LMC,74.0,75.0,76.0,5,0.0,0.0
122,LW,69.0,70.0,71.0,5,0.0,0.0
122,MKT,79.0,81.0,83.0,5,0.0,0.0
122,SB,90.0,92.0,94.0,5,0.5477225575051661,1.0
131,HG,78.0,82.0,87.0,5,0.8366600265340756,2.0
131,HYW,85.0,86.0,88.0,5,0.5477225575051661,1.0
131,LMC,71.0,71.0,72.0,5,0.5477225575051661,1.0
131,LW,66.0,66.0,67.0,5,0.5477225575051661,1.0
131,MKT,76.0,77.0,79.0,5,0.0,0.0
131,SB,89.0,91.0,93.0,5,0.0,0.0
132,HG,83.0,87.0,91.0,5,0.7071067811865476,2.0
132,HYW,85.0,87.0,88.0,5,0.0,0.0
132,LMC,71.0,72.0,73.0,5,0.0,0.0
132,LW,66.0,67.0,68.0,5,0.0,0.0
132,MKT,76.0,77.0,79.0,5,0.5477225575051661,1.0
132,SB,92.0,94.0,96.0,5,0.4472135954999579,1.0
133,HG,84.0,88.0,91.0,5,0.7071067811865476,2.0
133,HYW,86.0,87.0,88.0,5,0.0,0.0
133,LMC,71.0,72.0,73.0,5,0.0,0.0
133,LW,66.0,67.0,68.0,5,0.0,0.0
133,MKT,77.0,78.0,79.0,5,0.0,0.0
133,SB,90.0,92.0,94.0,5,0.0,0.0
134S,HG,76.0,79.0,81.0,5,0.5477225575051661,1.0
134S,HYW,74.0,76.0,77.0,5,0.4472135954999579,1.0
134S,LMC,59.0,60.0,61.0,5,0.0,0.0
134S,LW,54.0,55.0,56.0,5,0.0,0.0
134S,MKT,65.0,66.0,68.0,5,0.4472135954999579,1.0
134S,SB,78.0,80.0,82.0,5,0.0,0.0
140,HG,96.0,100.0,106.0,5,0.8366600265340756,2.0
140,HYW,99.0,101.0,103.0,5,0.0,0.0
140,LMC,84.0,86.0,88.0,5,0.0,0.0
140,LW,79.0,81.0,83.0,5,0.0,0.0
140,MKT,90.0,92.0,94.0,5,0.0,0.0
140,SB,109.0,114.0,117.0,5,0.5477225575051661,1.0
141,HG,103.0,108.0,113.0,5,0.5477225575051661,1.0
141,HYW,113.0,115.0,117.0,5,0.0,0.0
141,LMC,91.0,92.0,94.0,5,0.5477225575051661,1.0
141,LW,86.0,87.0,89.0,5,0.5477225575051661,1.0
141,MKT,104.0,106.0,108.0,5,0.0,0.0
141,SB,113.0,117.0,,5,0.4472135954999579,1.0
142,HG,89.0,92.0,96.0,5,0.5477225575051661,1.0
142,HYW,90.0,91.0,93.0,5,0.5477225575051661,1.0
142,LMC,75.0,76.0,78.0,5,0.5477225575051661,1.0
142,LW,70.0,71.0,73.0,5,0.5477225575051661,1.0
142,MKT,81.0,82.0,84.0,5,0.4472135954999579,1.0
142,SB,100.0,102.0,104.0,5,0.5477225575051661,1.0
143,HG,92.0,96.0,101.0,5,1.3038404810405297,3.0
143,HYW,93.0,95.0,97.0,5,0.0,0.0
143,LMC,78.0,80.0,81.0,5,0.4472135954999579,1.0
143,LW,73.0,75.0,76.0,5,0.4472135954999579,1.0
