from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,102,104,110
111,SB,106,110,115
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,75,76,77
112,LMC,80,81,82
112,HG,85,89,93
112,SB,94,97,100
112,MKT,89,90,91
112,HYW,98,99,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,86,89,95
113,SB,92,96,99
113,MKT,81,83,84
113,HYW,90,92,93
114,LW,69,70,72
114,LMC,74,75,77
114,HG,79,82,86
114,SB,89,91,94
114,MKT,79,81,83
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,83,87,92
115,SB,96,99,102
115,MKT,80,81,83
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,90,93,97
116,SB,100,103,106
116,MKT,85,87,88
116,HYW,94,96,97
121,LW,70,71,72
121,LMC,75,76,77
121,HG,79,81,83
121,SB,78,80,82
121,MKT,81,82,84
121,HYW,85,89,91
122,LW,69,70,71
122,LMC,74,75,76
122,HG,79,83,88
122,SB,89,91,93
122,MKT,79,81,83
122,HYW,89,90,92
123,LW,62,63,64
123,LMC,67,68,69
123,HG,77,80,83
123,SB,84,86,88
123,MKT,73,74,75
123,HYW,82,83,85
124,LW,59,60,62
124,LMC,64,65,67
124,HG,77,80,82
124,SB,83,85,87
124,MKT,70,71,73
124,HYW,79,80,82
131,LW,65,66,67
131,LMC,70,71,72
131,HG,78,82,87
131,SB,89,91,93
131,MKT,76,77,79
131,HYW,85,87,88
132,LW,66,67,68
132,LMC,71,72,73
132,HG,82,87,91
132,SB,92,94,96
132,MKT,76,77,79
132,HYW,85,86,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,85,89,91
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,88
134,LW,58,59,60
134,LMC,63,64,65
134,HG,81,83,85
134,SB,82,84,86
134,MKT,70,71,72
134,HYW,79,80,81
135,LW,62,63,64
135,LMC,67,68,69
135,HG,82,85,88
135,SB,86,88,90
135,MKT,73,74,76
135,HYW,82,83,85
140,LW,79,81,82
140,LMC,84,86,87
140,HG,96,100,106
140,SB,109,112,117
140,MKT,90,92,94
140,HYW,99,101,103
141,LW,86,88,90
141,LMC,91,93,95
141,HG,104,108,115
141,SB,113,117,
141,MKT,105,107,108
141,HYW,114,116,117
142,LW,71,72,73
142,LMC,76,77,78
142,HG,88,92,96
142,SB,99,102,104
142,MKT,81,82,84
142,HYW,90,92,93
143,LW,73,75,76
143,LMC,78,80,81
143,HG,92,96,102
143,SB,101,107,112
143,MKT,84,85,87
143,HYW,93,94,97
144,LW,72,75,78
144,LMC,77,80,83
144,HG,91,96,100
144,SB,106,109,112
144,MKT,83,87,90
144,HYW,92,96,99
145,LW,81,82,83
145,LMC,86,87,88
145,HG,98,101,106
145,SB,111,114,117
145,MKT,92,93,94
145,HYW,101,102,103
146,LW,68,69,70
146,LMC,73,74,75
146,HG,85,89,95
146,SB,98,100,103
146,MKT,79,80,81
146,HYW,88,89,90
147,LW,71,73,74
147,LMC,76,78,79
147,HG,91,95,101
147,SB,103,105,108
147,MKT,82,83,85
147,HYW,91,92,94
148,LW,76,78,80
148,LMC,81,83,85
148,HG,95,99,103
148,SB,109,112,116
148,MKT,87,89,92
148,HYW,96,98,101
149,LW,78,79,81
149,LMC,83,84,86
149,HG,98,104,111
149,SB,112,117,
149,MKT,92,94,97
149,HYW,101,103,106
151,LW,71,73,74
151,LMC,76,78,79
151,HG,91,94,100
151,SB,104,106,109
151,MKT,82,84,86
151,HYW,91,93,95
152,LW,80,82,83
152,LMC,85,87,88
152,HG,99,103,108
152,SB,113,117,
152,MKT,90,93,96
152,HYW,99,102,105
153,LW,74,76,78
153,LMC,79,81,83
153,HG,90,94,99
153,SB,99,103,107
153,MKT,85,87,89
153,HYW,94,96,98
154,LW,83,85,87
154,LMC,88,90,92
154,HG,100,107,112
154,SB,108,112,118
154,MKT,93,96,98
154,HYW,103,105,107
155,LW,74,75,76
155,LMC,79,80,81
155,HG,98,102,107
155,SB,106,110,114
155,MKT,87,88,90
155,HYW,96,97,99
156,LW,92,94,97
156,LMC,97,99,103
156,HG,114,,
156,MKT,105,110,114
156,HYW,114,119,
157,LW,74,76,78
157,LMC,79,81,83
157,HG,93,97,102
157,SB,107,110,117
157,MKT,84,87,89
157,HYW,93,96,98
161,LW,78,81,83
161,LMC,83,86,88
161,HG,98,103,108
161,SB,112,116,119
161,MKT,89,91,93
161,HYW,98,100,103
162,LW,95,100,103
162,LMC,100,105,110
162,MKT,113,115,117
163,LW,91,93,94
163,LMC,96,98,100
163,HG,113,117,
163,MKT,102,103,105
