from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,105,111
111,SB,107,111,115
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,74,76,77
112,LMC,79,81,82
112,HG,86,89,93
112,SB,93,97,100
112,MKT,88,89,91
112,HYW,97,98,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,85,89,94
113,SB,92,96,99
113,MKT,82,83,84
113,HYW,91,92,93
114,LW,69,70,71
114,LMC,74,75,76
114,HG,78,83,89
114,SB,89,92,94
114,MKT,80,81,83
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,83,88,92
115,SB,96,99,102
115,MKT,80,81,83
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,91,94,98
116,SB,99,102,104
116,MKT,86,87,89
116,HYW,95,96,98
121S,LW,65,66,67
121S,LMC,70,71,72
121S,HG,77,82,85
121S,SB,86,88,90
121S,MKT,75,77,78
121S,HYW,85,86,87
122,LW,69,70,72
122,LMC,74,75,77
122,HG,81,85,88
122,SB,89,92,94
122,MKT,79,81,83
122,HYW,88,90,92
131,LW,65,66,67
131,LMC,70,71,72
131,HG,78,82,87
131,SB,89,91,93
131,MKT,76,77,78
131,HYW,85,86,88
132,LW,66,67,68
132,LMC,71,72,73
132,HG,83,87,91
132,SB,92,94,96
132,MKT,76,78,79
132,HYW,86,87,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,84,88,91
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,88
134S,LW,54,55,56
134S,LMC,59,60,61
134S,HG,77,79,81
134S,SB,78,80,81
134S,MKT,65,66,68
134S,HYW,74,76,77
140,LW,79,81,83
140,LMC,84,86,88
140,HG,96,99,106
140,SB,110,114,117
140,MKT,90,92,95
140,HYW,99,101,104
141,LW,86,87,89
141,LMC,91,92,94
141,HG,102,108,114
141,SB,113,117,
141,MKT,104,106,108
141,HYW,113,115,117
142,LW,70,71,73
142,LMC,75,76,78
142,HG,89,92,96
142,SB,100,102,105
142,MKT,81,82,84
142,HYW,90,91,93
143,LW,73,75,76
143,LMC,78,80,81
143,HG,92,96,100
143,SB,101,105,111
143,MKT,84,86,88
143,HYW,93,95,97
144,LW,72,76,78
144,LMC,77,81,83
144,HG,92,97,103
144,SB,107,110,112
144,MKT,82,86,89
144,HYW,91,95,98
145,LW,81,82,83
145,LMC,86,87,88
145,HG,96,102,107
145,SB,112,114,117
145,MKT,91,93,94
145,HYW,100,102,103
146S,LW,70,71,72
146S,LMC,75,76,77
146S,HG,89,93,98
146S,SB,100,102,106
146S,MKT,80,81,83
146S,HYW,89,91,92
148,LW,76,78,80
148,LMC,81,83,85
148,HG,95,101,105
148,SB,109,113,117
148,MKT,87,89,92
148,HYW,96,98,101
149,LW,78,79,81
149,LMC,83,84,86
149,HG,99,104,111
149,SB,112,117,
149,MKT,92,95,98
149,HYW,101,104,107
151,LW,72,73,75
151,LMC,77,78,80
151,HG,91,96,100
151,SB,103,106,109
151,MKT,82,84,86
151,HYW,91,93,95
152,LW,79,81,83
152,LMC,84,86,88
152,HG,99,105,111
152,SB,113,117,
152,MKT,90,94,98
152,HYW,99,104,107
153,LW,74,76,78
153,LMC,79,81,83
153,HG,90,94,98
153,SB,99,102,107
153,MKT,85,87,88
153,HYW,94,96,98
154,LW,82,85,87
154,LMC,87,90,92
154,HG,101,106,109
154,SB,109,113,116
154,MKT,92,95,97
154,HYW,101,104,106
155,LW,74,75,76
155,LMC,79,80,81
155,HG,98,102,106
155,SB,106,110,114
155,MKT,86,88,89
155,HYW,95,97,98
157,LW,74,76,79
157,LMC,79,81,84
157,HG,93,97,103
157,SB,106,110,115
157,MKT,84,87,89
157,HYW,93,96,98
161,LW,78,81,83
161,LMC,83,86,88
161,HG,99,101,105
161,SB,112,117,
161,MKT,89,91,94
161,HYW,98,100,103
162,LW,95,100,103
162,LMC,100,105,110
162,MKT,113,115,118
163,LW,92,93,95
163,LMC,97,98,100
163,HG,113,117,
163,MKT,102,104,105
163,HYW,111,113,114
164S,LW,92,97,99
164S,LMC,97,102,106
164S,HG,118,,
164S,MKT,109,112,115
164S,HYW,118,,
166,LW,86,89,92
166,LMC,91,94,98
166,HG,107,110,116
166,SB,118,,
166,MKT,97,100,105
166,HYW,106,109,114
167,LW,108,,
167,LMC,113,,
171,LW,87,88,90
171,LMC,92,93,95
171,HG,105,108,112
171,SB,115,118,
171,MKT,98,100,103
171,HYW,107,109,112
172,LW,82,85,87
172,LMC,87,90,92
172,HG,98,103,108
172,SB,111,116,118
172,MKT,92,95,97
172,HYW,101,104,106
173,LW,97,98,100
173,LMC,102,103,106
